Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.18,0.18,0.12,0.37,0,0.01,0
Operating Expenses,0.18,0.18,0.12,0.37,0,0.01,0
Operating Income,-0.18,-0.18,-0.12,-0.37,0,-0.01,-0
Other Expense / Income,-1,-0.53,-0.17,-0.01,-,-,-
Pretax Income,0.82,0.34,0.04,-0.36,0,-0.01,-0
Net Income,0.82,0.34,0.04,-0.36,0,-0.01,-0
Shares Outstanding (Basic),15,15,15,11,3,3,-
Shares Outstanding (Diluted),15,15,15,11,-,3,-
Shares Change,479.19%,479.60%,-,-,-,-,-
EPS (Basic),0.01,-0.01,-,-1.48,-,-,-
EPS (Diluted),0.01,-0.01,-,-1.48,-,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.03,-0.00,-,-
EBITDA,0.82,0.34,0.04,-0.36,0,-0.01,-0
EBIT,0.82,0.34,0.04,-0.36,0,-0.01,-0
