Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.68,0.45,0.54,0.46,-,0,0.03
Operating Expenses,0.68,0.45,0.54,0.46,-,0,0.03
Operating Income,-0.68,-0.45,-0.54,-0.46,-,0,-0.03
Other Expense / Income,-1.88,-1.76,-5.42,-0.81,-,-,-
Pretax Income,1.2,1.32,4.88,0.36,-,0,-0.03
Income Tax,0.09,0,0,0,-,0,0
Net Income,1.12,1.32,4.88,0.36,-,0,-0.03
Shares Outstanding (Basic),24,29,29,29,13,6,6
Shares Outstanding (Diluted),24,29,29,29,-,6,6
Shares Change,90.11%,400.00%,400.00%,-,-,-,-
EPS (Basic),-0.04,-,0.17,-0.01,-,-,-
EPS (Diluted),-0.04,-,0.17,-0.01,-,-,-
Free Cash Flow Per Share,-0.04,0.00,-0.01,-0.01,-,-0.01,-0.02
Effective Tax Rate,7.17%,-,-,-,-,-,-
EBITDA,1.2,1.32,4.88,0.36,-,0,-0.03
EBIT,1.2,1.32,4.88,0.36,-,0,-0.03
