Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",2.34,2.41,0.48,2.79,0.22,0,0.02
Operating Expenses,2.34,2.41,0.48,2.79,0.22,0,0.02
Operating Income,-2.34,-2.41,-0.48,-2.79,-0.22,0,-0.02
Other Expense / Income,-1.98,-1.06,-0.32,-0.02,-0,-,-
Pretax Income,-0.35,-1.35,-0.16,-2.76,-0.21,0,-0.02
Net Income,-0.35,-1.35,-0.16,-2.76,-0.21,0,-0.02
Shares Outstanding (Basic),32,32,32,32,13,7,7
Shares Outstanding (Diluted),32,32,32,32,13,7,7
Shares Change,139.86%,358.71%,358.71%,-,-,-,-
EPS (Basic),-0.01,-0.04,-0.01,-0.09,-0.02,-,-
EPS (Diluted),-0.01,-0.04,-0.01,-0.09,-0.02,-,-
Free Cash Flow Per Share,-0.01,-0.03,-0.01,-0.01,-0.04,-,-
EBITDA,-0.35,-1.35,-0.16,-2.76,-0.21,0,-0.02
EBIT,-0.35,-1.35,-0.16,-2.76,-0.21,0,-0.02
