Metrics,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
"Selling, General & Admin",0.94,0.64,1.07,2.35,0.68,2.1,0.34,0.45,0
Operating Expenses,0.94,0.64,1.07,2.35,0.68,2.1,0.34,0.45,0
Operating Income,-0.94,-0.64,-1.07,-2.35,-0.68,-2.1,-0.34,-0.45,-0
Interest Expense / Income,0.74,0.26,0.1,0,0,0,0,0,0
Other Expense / Income,0.71,-1.37,0.35,-0.49,-1.96,-0.24,-3.9,1.79,-
Pretax Income,-2.38,0.47,-1.52,-1.86,1.29,-1.86,3.57,-2.24,-0
Net Income,-2.38,0.47,-1.52,-1.86,1.29,-1.86,3.57,-2.24,-0
Shares Outstanding (Basic),9,9,22,20,24,24,24,2,4
Shares Outstanding (Diluted),9,9,22,20,24,24,24,2,4
Shares Change,-62.49%,-62.49%,-9.03%,715.55%,452.00%,-,-,-,-
EPS (Basic),-0.26,0.05,-0.07,0.28,0.05,-0.08,0.15,-0.91,-
EPS (Diluted),-0.26,0.05,-0.07,0.28,0.05,-0.08,0.15,-0.91,-
Free Cash Flow Per Share,-0.05,-0.07,-0.02,-0.01,-0.02,-0.02,-0.04,0.26,-
EBITDA,-1.65,0.73,-1.42,-1.86,1.29,-1.86,3.57,-2.24,-0
EBIT,-1.65,0.73,-1.42,-1.86,1.29,-1.86,3.57,-2.24,-0
