Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.49,0.33,0.21,0.19,0.26,1.86,0.03,0.12
Operating Expenses,0.49,0.33,0.21,0.19,0.26,1.86,0.03,0.12
Operating Income,-0.49,-0.33,-0.21,-0.19,-0.26,-1.86,-0.03,-0.12
Other Expense / Income,-1.27,-3.05,-2.12,-5.43,-2.15,-7.99,-,-
Pretax Income,0.79,2.72,1.91,5.24,1.89,6.13,-0.03,-0.12
Net Income,0.79,2.72,1.91,5.24,1.89,6.13,-0.03,-0.12
Net Income Growth,-58.56%,-55.71%,-,-,-,-,-,-
Shares Outstanding (Basic),29,29,29,29,29,11,5,5
Shares Outstanding (Diluted),29,29,29,29,29,11,5,5
Shares Change,-,156.77%,475.00%,475.00%,-,-,-,-
EPS (Basic),0.03,0.10,0.07,0.18,0.07,0.56,-0.01,-0.02
EPS (Diluted),0.03,0.10,0.07,0.18,0.07,0.56,-0.01,-0.02
EPS Growth,-57.14%,-82.14%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-,-0.00,-0.01,-0.01,-,-,-0.03
EBITDA,0.79,2.72,1.91,5.24,1.89,-,-,-0.12
EBIT,0.79,2.72,1.91,5.24,1.89,6.13,-0.03,-0.12
