Metrics,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30
Revenue,1.9,-0.23,1.43,2.55,3.44,4.34,4.08,7.06,7.21,11.26,-15.67,9.79,2.65,4.07,4.25,-0.11,3.17,0,3.07,2.96,3.63,3.86,3.52,2.33,3.36,3.62,-0.64,-0.22,2.83,0
Revenue Growth (YoY),-44.92%,-,-64.85%,-63.84%,-52.24%,-61.44%,-,-27.92%,171.71%,176.35%,-,-,-16.31%,-,38.36%,-,-12.55%,-,-12.68%,26.83%,7.86%,6.55%,-,-,18.81%,-,-,-,-,-
Cost of Revenue,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross Profit,1.9,-0.23,1.43,2.55,3.44,4.34,4.08,7.06,7.21,11.26,-15.67,7.29,2.65,4.07,4.25,-0.11,3.17,0,3.07,2.96,3.63,3.86,3.52,2.33,3.36,3.62,-0.64,-0.22,2.83,0
Selling & Marketing,0,0,0,0,0.02,0.02,0.03,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,0,0.04,0.04,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.08,0.11,0
General & Administrative,0.34,0.48,0.33,0.26,0.32,0.29,0.27,0.4,0.48,0.25,0.23,0.37,0.28,0.31,0.3,0.36,0.27,0,0.34,0.33,0.33,0.22,0.24,0.22,0.27,0.24,0.3,0.32,0.35,0
Other Operating Expenses,0.15,0.13,0.11,0.06,0.06,0.14,0.13,0.14,0.16,0.14,0.14,0,0.14,0.14,0.11,0.1,0.12,0,0.05,0.13,0.16,0.15,0.15,0.02,0.13,0.12,0.12,0.14,-0.05,0
Operating Expenses,0.49,0.61,0.44,0.32,0.4,0.45,0.44,0.57,0.67,0.42,0.4,0.42,0.46,0.48,0.44,0.5,0.43,0,0.43,0.5,0.54,0.44,0.45,0.31,0.46,0.42,0.48,0.54,0.41,0
Operating Income,2.06,-0.36,1.33,2.62,3.36,4.19,3.94,6.7,6.74,11.02,-15.91,6.88,2.46,3.95,4.33,-0.04,3.28,0,2.94,2.46,3.08,3.42,3.07,2.03,2.9,3.2,-1.12,-0.76,2.42,0
Interest Income,5.13,4.71,4.39,4.06,3.82,3.53,3.3,3.27,3.35,2.87,2.81,0,3.05,2.83,3.06,3.46,3.2,0,3.1,3.36,3.33,3.18,3.25,2.91,2.83,2.69,2.47,2.3,2.44,0
Interest Expense,0.65,0.49,0.34,0.39,0.31,0.3,0.3,0.21,0.2,0.18,0.17,-1.67,0.26,0.36,0.53,0.57,0.54,0,0.3,0.32,0.43,0.46,0.55,0.48,0.46,0.42,0.42,0.35,0.41,0
Other Expense / Income,5.13,4.71,4.39,4.06,3.82,3.53,3.3,3.27,3.35,2.87,2.81,3.34,3.05,2.83,3.06,3.46,3.2,-,3.1,3.36,3.33,3.18,3.25,2.91,2.83,2.69,2.06,1.96,2.44,-
Pretax Income,1.41,-0.85,0.99,2.23,3.05,3.89,3.64,6.48,6.54,10.84,-16.08,5.21,2.2,3.59,3.81,-0.61,2.74,0,2.64,2.46,3.08,3.42,3.07,2.03,2.9,3.2,-1.12,-0.76,2.42,0
Income Tax,0,0,0,0,0,0.17,0,0,0,0,0,3.34,0,0,0,0,0,0,0,-0.32,-0.43,-0.46,-0.55,-0.48,-0.46,-0.42,-0.42,-0.35,-0.41,0
Net Income,1.41,-0.85,0.99,2.23,3.05,3.72,3.64,6.48,6.54,10.84,-16.08,1.87,2.2,3.59,3.81,-0.61,2.74,0,2.64,2.46,3.08,3.42,3.07,2.03,2.9,3.2,-0.7,-0.41,2.42,0
Net Income Growth,-53.84%,-,-72.77%,-65.65%,-53.36%,-65.70%,-,246.04%,197.49%,201.73%,-,-,-19.85%,-,44.16%,-,-11.11%,-,-13.89%,21.28%,6.21%,6.84%,-,-,19.88%,-,-,-,-,-
Shares Outstanding (Basic),7,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,6,7,6,6,7,7
Shares Outstanding (Diluted),7,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,6,7,6,6,7,7
