Metrics,2023-02-28,2022-11-30,2022-08-31,2022-05-31,2022-02-28,2021-11-30
"Selling, General & Admin",0.15,0.35,0.17,0.13,0.05,0.01
Operating Expenses,0.15,0.35,0.17,0.13,0.05,0.01
Operating Income,-0.15,-0.35,-0.17,-0.13,-0.05,-0.01
Other Expense / Income,-0.89,-0.63,-0.29,-0.07,-0,-
Pretax Income,0.74,0.29,0.12,-0.06,-0.05,-0.01
Income Tax,0.18,0.19,0,0,0,0
Net Income,0.56,0.1,0.12,-0.06,-0.05,-0.01
Shares Outstanding (Basic),11,11,11,11,4,2
Shares Outstanding (Diluted),11,11,11,11,4,2
Shares Change,158.80%,499.95%,-,-,-,-
EPS (Basic),0.05,0.01,-0.01,-0.01,-0.01,-
EPS (Diluted),0.05,0.01,-0.01,-0.01,-0.01,-
Free Cash Flow Per Share,-0.03,-0.03,-0.01,-0.01,0.00,-
Effective Tax Rate,23.80%,65.40%,-,-,-,-
EBITDA,0.74,0.29,0.12,-0.06,-0.05,-0.01
EBIT,0.74,0.29,0.12,-0.06,-0.05,-0.01
