Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.61,0.42,0.35,0.5,0.32,0.11,0.12
Other Operating Expenses,0.06,0.05,0.05,0,0.16,0,0
Operating Expenses,0.68,0.47,0.4,0.5,0.48,0.11,0.12
Operating Income,-0.68,-0.47,-0.4,-0.5,-0.48,-0.11,-0.12
Other Expense / Income,-2.06,-1.08,-0.12,-0.03,-0.01,-,-
Pretax Income,1.38,0.61,-0.28,-0.47,-0.47,-0.11,-0.12
Income Tax,0.42,0.2,0,0,0,0,0
Net Income,0.96,0.4,-0.28,-0.47,-0.47,-0.11,-0.12
Shares Outstanding (Basic),29,29,29,29,10,5,5
Shares Outstanding (Diluted),29,29,29,29,10,5,5
Shares Change,174.64%,475.00%,475.00%,-,-,-,-
EPS (Basic),0.03,0.01,-0.01,-0.02,-0.07,-,-
EPS (Diluted),0.03,0.01,-0.01,-0.02,-0.07,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.01,-0.10,-0.04,-
Effective Tax Rate,30.32%,33.18%,-,-,-,-,-
EBITDA,1.38,0.61,-0.28,-0.47,-0.47,-0.11,-0.12
EBIT,1.38,0.61,-0.28,-0.47,-0.47,-0.11,-0.12
