Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-19
"Selling, General & Admin",0.81,0.53,0.34,0.37,-1.74,0.85,2.12,0.15,0.03
Other Operating Expenses,0.05,0.05,0.05,0.05,4.04,0.05,0.05,0.05,0
Operating Expenses,0.86,0.58,0.39,0.42,2.3,0.9,2.17,0.2,0.03
Operating Income,-0.86,-0.58,-0.39,-0.42,-2.3,-0.9,-2.17,-0.2,-0.03
Other Expense / Income,-2.98,-1.56,-0.49,-0.18,-0.41,-1.76,-0.86,3.14,-
Pretax Income,2.12,0.98,0.1,-0.24,-1.89,0.86,-1.32,-3.33,-0.03
Income Tax,0.72,0.32,0.05,0,0,0,0,0,0
Net Income,1.41,0.66,0.05,-0.24,-1.89,0.86,-1.32,-3.33,-0.03
Net Income Growth,-,-22.51%,-,-,-,-,-,-,-
Shares Outstanding (Basic),40,40,40,40,40,40,40,16,5
Shares Outstanding (Diluted),40,40,40,40,40,40,40,16,5
Shares Change,1.43%,-,-,147.54%,698.39%,-,-,-,-
EPS (Basic),-0.04,-0.02,-0.01,-0.01,-0.04,0.02,-0.03,-0.25,-0.01
EPS (Diluted),-0.04,-0.02,-0.01,-0.01,-0.04,0.02,-0.03,-0.25,-0.01
Free Cash Flow Per Share,0.11,-0.00,-0.01,-0.01,-,-0.00,-0.02,-0.05,-
Effective Tax Rate,33.75%,32.32%,51.53%,-,-,-,-,-,-
EBITDA,2.12,0.98,0.1,-0.24,-,0.86,-1.32,-3.33,-0.03
EBIT,2.12,0.98,0.1,-0.24,-1.89,0.86,-1.32,-3.33,-0.03
