Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",1.03,0.93,0.28,0.25,0.25,0.42,0.18,-0,0
Operating Expenses,1.03,0.93,0.28,0.25,0.25,0.42,0.18,-0,0
Operating Income,-1.03,-0.93,-0.28,-0.25,-0.25,-0.42,-0.18,0,-0
Other Expense / Income,-1.19,-0.5,-1.07,-1.68,-1.8,-0.16,-2.62,-,-
Pretax Income,0.17,-0.43,0.78,1.43,1.55,-0.26,2.45,0,-0
Income Tax,0.08,0.22,0.11,0.01,0,0,0,0,0
Net Income,0.09,-0.66,0.67,1.42,1.55,-0.26,2.45,0,-0
Net Income Growth,-94.28%,-,-72.57%,47418933.33%,-,-,-,-,-
Shares Outstanding (Basic),8,19,19,19,19,11,15,4,4
Shares Outstanding (Diluted),8,19,19,19,19,11,15,4,4
Shares Change,-56.35%,82.33%,29.63%,336.80%,400.00%,-,-,-,-
EPS (Basic),0.01,-0.04,0.03,0.07,0.08,-0.10,0.16,-,-
EPS (Diluted),0.01,-0.04,0.03,0.07,0.08,-0.10,0.16,-,-
EPS Growth,-87.50%,-,-81.25%,-,-,-,-,-,-
Free Cash Flow Per Share,-1.29,0.52,-0.02,-0.01,-0.02,-0.01,-0.04,-,-
Effective Tax Rate,46.35%,-,14.07%,0.51%,-,-,-,-,-
EBITDA,0.17,-0.43,0.78,1.43,1.55,-0.26,2.45,0,-0
EBIT,0.17,-0.43,0.78,1.43,1.55,-0.26,2.45,0,-0
