Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-08-04
"Selling, General & Admin",0.42,0.19,0.24,0.84,0.31,0.19,0,0
Other Operating Expenses,0,0,0,0,0,0,0,0
Operating Expenses,0.42,0.19,0.24,0.84,0.31,0.19,0,0
Operating Income,-0.42,-0.19,-0.24,-0.84,-0.31,-0.19,-0,-0
Other Expense / Income,-2.6,-4.58,-3.97,-3.44,-10.83,-6.56,-,-
Pretax Income,2.18,4.39,3.74,2.6,10.53,6.38,-0,-0
Net Income,2.18,4.39,3.74,2.6,10.53,6.38,-0,-0
Net Income Growth,-79.33%,-31.17%,-,-,-,-,-,-
Shares Outstanding (Basic),43,43,43,43,43,12,8,6
Shares Outstanding (Diluted),43,43,43,43,43,12,8,6
Shares Change,-,253.60%,475.00%,590.00%,-,-,-,-
EPS (Basic),0.05,0.10,0.09,0.06,0.24,0.62,-,-
EPS (Diluted),0.05,0.10,0.09,0.06,0.24,0.62,-,-
EPS Growth,-79.17%,-83.87%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.01,-0.01,-0.07,-,-
EBITDA,2.18,4.39,3.74,2.6,10.53,6.38,-0,-0
EBIT,2.18,4.39,3.74,2.6,10.53,6.38,-0,-0
