Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31
Revenue,256.94,242.96,216.96,178.96,180.32,183.6,164.88,153.01,138.28,139.33,122.5,117.71,80.35,92.8,78.33,72.57,72.19,56.9,60.14,54.95,50.13,50.74,47.84,45.51,42.69,40.35,34.87,33.68,32.72,24.38,19.84,18.59,-
Revenue Growth (YoY),42.49%,32.33%,31.58%,16.96%,30.40%,31.77%,34.60%,29.99%,72.11%,50.14%,56.40%,62.19%,11.31%,63.09%,30.25%,32.08%,44.01%,12.14%,25.71%,20.74%,17.43%,25.75%,37.20%,35.13%,30.47%,65.50%,75.79%,81.13%,-,-,-,-,-
Cost of Revenue,139.03,113.58,134.79,107.04,102.51,87.69,87.35,79.12,70.26,69.33,82.43,58.3,53.73,51.44,44.81,39.58,33.73,37.09,32.09,29.97,28.9,28.15,31.57,21.86,22.11,19.44,15.95,17.46,18.12,14.59,10.37,8.06,-
Gross Profit,117.91,129.38,82.17,71.92,77.81,95.91,77.53,73.9,68.02,70,40.07,59.4,26.61,41.36,33.52,32.99,38.45,19.81,28.05,24.98,21.23,22.6,16.27,23.65,20.58,20.92,18.92,16.22,14.6,9.79,9.47,10.53,-
"Selling, General & Admin",46.55,43.06,40.15,38.97,38.55,35.41,31.47,29.89,28.14,26.83,22.93,22.96,21.58,19.84,18.32,16.44,15.62,14.66,13.85,12.52,12.4,11.37,10.99,10.49,11.29,9.52,6.3,6.48,6.25,2.4,0.05,0.03,-
Other Operating Expenses,0.4,0.2,0.21,0.5,0.14,0.19,0.15,0.4,0.45,0.19,1.02,0,0,0,0,0.02,0.04,0.05,0.11,0,0.01,0,0.03,0.4,0,1.1,0.52,0.49,0.46,0.51,0.47,0.52,0
Operating Expenses,46.95,43.26,40.36,39.48,38.69,35.6,31.61,30.29,28.58,27.01,23.95,22.96,21.58,19.84,18.32,16.46,15.65,14.71,13.96,12.52,12.41,11.37,11.02,10.89,11.29,10.62,6.83,6.97,6.71,2.91,0.51,0.55,-
Operating Income,70.96,86.13,41.82,32.44,39.13,60.32,45.92,43.61,39.44,42.99,16.12,36.44,5.03,21.52,15.19,16.54,22.8,5.11,14.1,12.46,8.82,11.23,5.26,12.76,9.29,10.3,12.09,9.25,7.89,6.88,8.95,9.98,-
Interest Expense / Income,2.57,1.98,1.72,0,0.25,0.24,0.24,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Pretax Income,68.39,84.15,40.1,32.44,38.87,60.08,45.68,43.61,39.44,42.82,16.12,36.44,5.03,21.52,15.19,16.54,22.8,5.11,14.1,12.46,8.82,11.23,5.26,12.76,9.29,10.3,12.09,9.25,7.89,6.88,8.95,9.98,-
Income Tax,12.59,16.9,7.12,5.35,7.08,11.76,9.05,7.97,7.36,4.64,1.23,6.18,-0.06,3.67,2.22,2.77,4.08,0.66,2.16,2.35,1.53,5.3,1.05,4.26,3.01,3.43,4.11,3.2,2.63,2.28,3.01,3.37,-
Net Income,55.8,67.25,32.98,27.09,31.79,48.32,36.63,35.64,32.08,38.18,14.89,30.26,5.09,17.85,12.98,13.77,18.72,4.45,11.94,10.11,7.29,5.92,4.2,8.5,6.28,6.87,7.98,6.06,5.26,4.6,5.94,6.61,-
