Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30
Revenue,0.55,1.04,-0.7,0.5,0,2.07,7.03,0.81,0.32,0.5,0.26,0.48,-0.02,0.4,0.35,0.11,0.12,1.71,1.25,0.72,0.12,0.22,19.33,2.66,1.64,11.83,2.17,3.53,1.53,0.87,1.18,2.07,2.27,2.16,1.85,0.9,0.65,0.64,0.64,0.21
Revenue Growth (YoY),-,-49.73%,-,-37.52%,-,317.54%,2613.90%,67.01%,-,22.77%,-26.00%,342.20%,-,-76.37%,-72.09%,-84.92%,1.74%,691.67%,-93.51%,-72.81%,-92.97%,-98.17%,792.43%,-24.72%,6.86%,1263.36%,83.56%,71.04%,-32.47%,-59.83%,-36.25%,129.70%,249.85%,239.78%,191.50%,324.06%,-,-,-,-
Cost of Revenue,0,0,1.14,0.02,0.02,0.02,0.2,0.02,0.02,0.03,0.03,0.02,0.03,0.02,0.03,0.01,0,10.17,0.06,0.03,0.01,0.01,41.91,1.15,0.03,13.82,-1.17,2.28,0.12,0.09,0.09,0.09,0.09,0.13,0.13,0.13,0.04,0.04,0.04,0.01
Gross Profit,0.55,1.04,-1.83,0.48,-0.02,2.05,6.83,0.78,0.3,0.47,0.23,0.47,-0.05,0.38,0.32,0.1,0.12,-8.46,1.19,0.69,0.11,0.21,-22.58,1.51,1.61,-1.99,3.33,1.25,1.41,0.78,1.1,1.98,2.18,2.03,1.72,0.77,0.61,0.6,0.59,0.2
"Selling, General & Admin",0.4,0.36,0.32,0.39,0.34,0.46,0.28,0.31,0.25,0.26,0.24,0.28,0.25,0.26,0.26,0.28,0.26,0.3,0.31,0.36,0.32,0.23,0.37,0.39,0.34,0.33,0.35,0.38,0.36,0.41,0.35,0.32,0.35,0.34,0.35,0.23,0.21,0.22,0.12,0.05
Other Operating Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15
Operating Expenses,0.4,0.36,0.32,0.39,0.34,0.46,0.28,0.31,0.25,0.26,0.24,0.28,0.25,0.26,0.26,0.28,0.26,0.29,0.31,0.37,0.32,0.23,0.37,0.39,0.34,0.33,0.35,0.38,0.36,0.41,0.35,0.32,0.35,0.34,0.35,0.23,0.21,0.22,0.12,0.2
Operating Income,0.14,0.68,-2.16,0.09,-0.36,1.59,6.55,0.47,0.05,0.21,-0.01,0.19,-0.3,0.12,0.06,-0.18,-0.15,-8.75,0.89,0.33,-0.21,-0.02,-22.95,1.12,1.27,-2.32,2.99,0.87,1.04,0.37,0.74,1.66,1.83,1.69,1.38,0.54,0.39,0.38,0.47,0
Other Expense / Income,-,-,-,0.02,0.03,0.03,0.02,0.02,0.02,0.03,0.03,0.02,0.07,0.06,0.07,0.02,-,-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pretax Income,0.14,0.68,-2.16,0.08,-0.39,1.56,6.53,0.45,0.03,0.18,-0.03,0.17,-0.36,0.06,-0.02,-0.21,-0.15,-6.75,0.89,0.33,-0.21,-0.02,-22.95,1.12,1.27,-2.32,2.99,0.87,1.04,0.37,0.74,1.66,1.83,1.69,1.38,0.54,0.39,0.38,0.47,0
