Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30
Revenue,131.43,183.15,145.38,151.1,151.88,198.91,177.43,255.52,169.8,189.15,122.84,114.6,92.4,533.3,0
Revenue Growth (YoY),-13.46%,-7.93%,-18.06%,-40.86%,-10.56%,5.16%,44.43%,122.96%,83.78%,-64.53%,-,-,-,-,-
Cost of Revenue,117.63,167.08,123.26,127.01,128.14,162.23,151.37,171.47,115.63,151.11,90.91,92.43,64.7,543.12,0
Gross Profit,13.79,16.07,22.12,24.09,23.74,36.69,26.06,84.05,54.18,38.03,31.94,22.17,27.7,-9.82,0
"Selling, General & Admin",5.39,4.8,3.65,6.49,5.28,4.98,6.13,3.67,2.2,2.6,6.1,3.43,2.93,15.65,0
Research & Development,8.51,7.67,7.34,7.52,7.56,6.89,7.37,7.14,6.96,7.07,6.97,6.03,7.21,27.07,0
Other Operating Expenses,22.58,23.14,19.95,19.09,21.27,25.44,22.89,23.75,16.97,20.19,17.34,33.42,21.15,102.58,0
Operating Expenses,36.48,35.61,30.94,33.1,34.1,37.31,36.38,34.57,26.13,29.86,30.41,42.87,31.3,145.3,0
Operating Income,-22.69,-19.54,-8.82,-9.01,-10.36,-0.62,-10.33,49.49,28.04,8.17,1.53,-20.7,-3.6,-155.12,0
Interest Expense / Income,0,0.07,0.07,0.07,0,0.07,0.07,3.6,3.87,3.86,3.91,4,3.97,15.4,0
Other Expense / Income,-22.85,-17.81,-14.6,-21.49,-22.25,-16.52,-14.03,57.87,-0.36,0.46,-2.29,-3.4,-4.22,-8.92,-
Pretax Income,0.16,-1.8,5.71,12.41,11.89,15.83,3.63,-11.98,24.53,3.85,-0.1,-21.29,-3.35,-161.6,0
Income Tax,5.29,-0.38,4.57,3.14,3,16.23,0.15,0.52,2.02,0.94,0.97,0.83,0.71,2.42,0
Net Income,-5.12,-1.42,1.14,9.27,8.89,-0.4,3.48,-12.5,22.51,2.92,-1.07,-22.13,-4.06,-164.02,0
Net Income Growth,-,-,-67.20%,-,-60.48%,-,-,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),42,43,42,45,46,43,43,43,31,29,31,7,-,7,7
Shares Outstanding (Diluted),87,87,88,91,93,93,93,94,-,29,31,-,-,7,7
Shares Change,-7.10%,-5.74%,-5.37%,-3.54%,196.16%,218.90%,194.56%,1268.47%,-,323.30%,358.22%,-,-,-,-
EPS (Basic),-0.12,-0.03,0.03,0.21,0.19,-0.01,0.08,-0.29,-,-,-,-,-,-,-
EPS (Diluted),-0.37,-0.27,-0.19,-,-,-0.26,-0.09,-0.32,-,-,-,-,-,-,-
Free Cash Flow Per Share,-3.56,1.47,1.00,2.26,-5.44,2.54,2.30,3.47,-3.86,4.71,1.78,3.80,-,-16.52,142.21
Dividend Per Share,-,0.070,0.070,0.070,0.070,0.070,0.070,-,-,-,-,-,-,-,-
Gross Margin,10.49%,8.77%,15.22%,15.94%,15.63%,18.44%,14.68%,32.89%,31.90%,20.11%,26.00%,19.34%,29.98%,-1.84%,-
Operating Margin,-17.26%,-10.67%,-6.07%,-5.96%,-6.82%,-0.31%,-5.82%,19.37%,16.52%,4.32%,1.25%,-18.06%,-3.89%,-29.09%,-
Profit Margin,-3.90%,-0.78%,0.78%,6.13%,5.86%,-0.20%,1.96%,-4.89%,13.25%,1.54%,-0.87%,-19.31%,-4.40%,-30.76%,-
Free Cash Flow Margin,-114.70%,34.17%,29.08%,66.55%,-164.45%,54.34%,55.22%,58.32%,-71.64%,72.41%,45.53%,22.80%,-150.05%,-21.29%,-
Effective Tax Rate,3242.94%,-,80.04%,25.32%,25.20%,102.51%,4.14%,-,8.25%,24.28%,-,-,-,-,-
EBITDA,6.55,5.13,12.27,18.43,19.23,23.64,11.59,-0.3,36.54,15.87,11.99,-9.18,8.77,-115.89,0
EBITDA Margin,4.98%,2.80%,8.44%,12.19%,12.66%,11.88%,6.53%,-0.12%,21.52%,8.39%,9.76%,-8.01%,9.49%,-21.73%,-
Depreciation & Amortization,6.38,6.87,6.49,5.95,7.34,7.73,7.89,8.08,8.14,8.16,8.17,8.12,8.15,30.31,0
EBIT,0.16,-1.73,5.78,12.48,11.89,15.9,3.7,-8.38,28.4,7.71,3.82,-17.3,0.62,-146.2,0
EBIT Margin,0.12%,-0.95%,3.98%,8.26%,7.83%,8.00%,2.08%,-3.28%,16.72%,4.08%,3.11%,-15.09%,0.67%,-27.41%,-
