Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
"Selling, General & Admin",0.12,0.06,0,0.04,0.04
Operating Expenses,0.12,0.06,0,0.04,0.04
Operating Income,-0.12,-0.06,0,-0.04,-0.04
Other Expense / Income,-0.6,-0.19,-,-0,-0
Pretax Income,0.48,0.13,0,-0.04,-0.04
Net Income,0.48,0.13,0,-0.04,-0.04
Shares Outstanding (Basic),4,5,2,2,2
Shares Outstanding (Diluted),4,5,2,2,2
Shares Change,197.53%,-,-,-,-
EPS (Basic),1.22,-2.02,-,-0.03,-0.03
EPS (Diluted),1.22,-2.02,-,-0.03,-0.03
Free Cash Flow Per Share,-0.01,-0.04,0.02,-0.03,-0.03
EBITDA,0.48,0.13,0,-0.04,-0.04
EBIT,0.48,0.13,0,-0.04,-0.04
