Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Revenue,-107.59,19.15,8.32,70.01,158.17,180.57,274.6,84.37,421.97,453.89,510.8,345.02,67.63,96.72
Revenue Growth (YoY),-,-89.39%,-96.97%,-17.02%,-62.52%,-60.22%,-46.24%,-75.55%,523.95%,369.28%,-,-,-,-
Cost of Revenue,44.68,42.26,77.96,89.69,104.19,115.88,137.91,152.29,179.43,172.74,132.39,97.27,67.7,62.21
Gross Profit,-152.26,-23.11,-69.65,-19.68,53.98,64.69,136.69,-67.91,242.54,281.15,378.41,247.76,-0.07,34.51
"Selling, General & Admin",11.84,11.2,12.48,16.97,19.67,20.95,21.74,26.55,26.24,28.11,16.21,11.87,12.54,10.92
Research & Development,4.57,3.27,3.68,4.34,4.87,6.83,7.58,8.17,9.29,7.62,6.38,5.05,0,0
Other Operating Expenses,8.73,6.28,21.51,8.4,7.98,8.59,8.09,10.99,12.1,14.55,8.33,4.18,3.74,3.05
Operating Expenses,25.14,20.74,37.66,29.71,32.52,36.37,37.41,45.71,47.62,50.28,30.92,21.1,16.28,13.97
Operating Income,-177.4,-43.85,-107.31,-49.39,21.46,28.32,99.28,-113.62,194.92,230.87,347.49,226.66,-16.35,20.54
Other Expense / Income,-,-,11.86,9.14,5.27,1.28,0.71,-13.2,-4.16,-2.84,-9.87,-1.86,-2.32,-0.11
Pretax Income,-177.4,-43.85,-119.17,-58.54,16.19,27.04,98.56,-100.42,199.09,233.72,357.36,228.52,-14.04,20.65
Income Tax,-43.64,-7.08,-25.04,-14.12,4.32,7.75,27.34,-27.21,50.12,49.25,93.29,59.5,-3.49,4.58
Net Income,-133.76,-36.77,-94.13,-44.42,11.86,19.29,71.22,-73.21,148.97,184.47,264.06,169.02,-10.55,16.07
Net Income Growth,-,-,-,-,-92.04%,-89.54%,-73.03%,-,-,1048.12%,-,-,-,-
Shares Outstanding (Basic),138,138,138,138,139,140,139,139,139,139,139,139,139,139
Shares Change,-0.63%,-0.81%,-0.80%,-0.53%,0.30%,0.48%,0.45%,0.14%,-0.00%,-,-,-,-,-
EPS (Basic),-0.97,-0.27,-0.68,-0.32,0.09,0.13,0.51,-0.53,1.07,1.32,1.90,1.22,-0.08,0.12
EPS (Diluted),-0.97,-0.27,-0.68,-0.32,0.08,0.14,0.51,-0.53,1.07,1.30,1.90,1.21,-0.08,0.12
EPS Growth,-,-,-,-,-92.52%,-89.23%,-73.16%,-,-,983.33%,-,-,-,-
Free Cash Flow Per Share,1.00,1.26,6.72,4.74,13.60,9.32,-9.14,-3.45,-13.76,-6.88,-1.53,0.16,-1.47,-1.68
Dividend Per Share,-,-,-,0.040,0.040,0.040,0.150,-,-,-,-,-,-,-
Gross Margin,-,-120.65%,-837.39%,-28.12%,34.13%,35.82%,49.78%,-80.49%,57.48%,61.94%,74.08%,71.81%,-0.11%,35.68%
Operating Margin,-,-228.96%,-1290.21%,-70.55%,13.57%,15.68%,36.15%,-134.67%,46.19%,50.87%,68.03%,65.69%,-24.18%,21.23%
Profit Margin,-,-192.01%,-1131.78%,-63.45%,7.50%,10.68%,25.94%,-86.77%,35.30%,40.64%,51.70%,48.99%,-15.60%,16.61%
Free Cash Flow Margin,-,909.93%,11183.50%,936.61%,1197.35%,719.82%,-464.41%,-569.30%,-452.79%,-210.32%,-41.66%,6.49%,-302.54%,-241.04%
Effective Tax Rate,-,-,-,-,26.71%,28.65%,27.74%,-,25.17%,21.07%,26.11%,26.04%,-,22.18%
EBITDA,-173.14,-41.06,-116.57,-55.91,18.87,29.62,101,-98.07,201.85,235.36,358.66,230.1,-12.66,22.17
EBITDA Margin,-,-214.41%,-1401.59%,-79.86%,11.93%,16.40%,36.78%,-116.24%,47.83%,51.85%,70.22%,66.69%,-18.71%,22.92%
Depreciation & Amortization,4.26,2.79,2.6,2.63,2.69,2.58,2.44,2.35,2.76,1.65,1.31,1.58,1.38,1.52
EBIT,-177.4,-43.85,-119.17,-58.54,16.19,27.04,98.56,-100.42,199.09,233.72,357.36,228.52,-14.04,20.65
EBIT Margin,-,-228.96%,-1432.84%,-83.62%,10.23%,14.98%,35.89%,-119.02%,47.18%,51.49%,69.96%,66.23%,-20.76%,21.35%
