Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-07-23
"Selling, General & Admin",1.3,0.93,0.83,0.11,0.29,0.12,0.13,0.2,0.52,0.2,0.06,0.01
Operating Expenses,1.3,0.93,0.83,0.11,0.29,0.12,0.13,0.2,0.52,0.2,0.06,0.01
Operating Income,-1.3,-0.93,-0.83,-0.11,-0.29,-0.12,-0.13,-0.2,-0.52,-0.2,-0.06,-0.01
Other Expense / Income,0.04,-1.11,-1.14,-3.4,-4.99,-2.65,-4.96,2.91,-12.04,6.21,0,-
Pretax Income,-1.33,0.19,0.31,3.29,4.69,2.53,4.83,-3.11,11.51,-6.4,-0.06,-0.01
Net Income,-1.33,0.19,0.31,3.29,4.69,2.53,4.83,-3.11,11.51,-6.4,-0.06,-0.01
Preferred Dividends,0,0,0,0,0.06,0,0,0,0,0,0,0
Net Income Common,-1.33,0.19,0.31,3.29,4.64,2.53,4.83,-3.11,11.51,-6.4,-0.06,-0.01
Net Income Growth,-,-92.65%,-93.60%,-,-59.73%,-,-,-,-,-,-,-
Shares Outstanding (Basic),14,33,36,41,41,41,41,41,41,29,14,8
Shares Outstanding (Diluted),14,33,36,41,41,41,41,41,41,29,14,8
Shares Change,-64.29%,-18.54%,-10.31%,-,-,39.96%,181.81%,440.14%,-,-,-,-
EPS (Basic),-0.09,0.05,0.01,0.08,0.11,0.06,0.12,-0.08,0.28,-0.22,-,-
EPS (Diluted),-0.09,0.05,0.01,0.08,0.11,0.06,0.12,-0.08,0.28,-0.22,-,-
EPS Growth,-,-16.67%,-91.67%,-,-60.71%,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.02,-0.00,-0.01,-0.00,-0.00,-0.00,-,-0.01,-0.00,-0.01,-0.00,-
EBITDA,-1.33,0.19,0.31,3.29,4.69,2.53,4.83,-3.11,11.51,-6.4,-0.06,-0.01
EBIT,-1.33,0.19,0.31,3.29,4.69,2.53,4.83,-3.11,11.51,-6.4,-0.06,-0.01
