Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",1.01,0.18,0.4,0.87,0.63,0,0.01
Other Operating Expenses,0.22,0.15,0,0,0.13,0,0
Operating Expenses,1.23,0.33,0.4,0.87,0.76,0,0.01
Operating Income,-1.23,-0.33,-0.4,-0.87,-0.76,-0,-0.01
Other Expense / Income,-3.92,-4.59,-1.9,-6.75,-10.24,-,-
Pretax Income,2.7,4.26,1.49,5.88,9.48,-0,-0.01
Net Income,2.7,4.26,1.49,5.88,9.48,-0,-0.01
Net Income Growth,-71.54%,-,-,-,-,-,-
Shares Outstanding (Basic),35,35,35,35,14,7,5
Shares Outstanding (Diluted),35,35,35,35,14,7,5
Shares Change,142.42%,400.00%,590.00%,-,-,-,-
EPS (Basic),0.09,0.13,0.05,0.17,1.96,-,-
EPS (Diluted),0.09,0.13,0.05,0.17,1.96,-,-
EPS Growth,-95.41%,-,-,-,-,-,-
Free Cash Flow Per Share,0.11,-0.00,-0.00,-0.01,-,-,-
EBITDA,2.7,4.26,1.49,5.88,-,-0,-0.01
EBIT,2.7,4.26,1.49,5.88,9.48,-0,-0.01
