Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",0.61,0.35,0.92,0.68,1.35,0.74,0.23,0
Other Operating Expenses,0.02,0.05,0.05,0.05,0.05,0.07,0.03,0.03
Operating Expenses,0.64,0.4,0.97,0.73,1.41,0.8,0.26,0.04
Operating Income,-0.64,-0.4,-0.97,-0.73,-1.41,-0.8,-0.26,-0.04
Other Expense / Income,2.11,-1.47,-5.63,-2.74,-0.07,-5.5,4.05,-
Pretax Income,-2.75,1.07,4.67,2,-1.34,4.69,-4.31,-0.04
Income Tax,0.27,0.18,-0.02,0,0,0,0,0
Net Income,-3.02,0.89,4.68,2,-1.34,4.69,-4.31,-0.04
Net Income Growth,-,-81.09%,-,-,-,-,-,-
Shares Outstanding (Basic),21,21,21,21,15,21,11,4
Shares Outstanding (Diluted),21,21,21,21,15,21,11,4
Shares Change,42.22%,-0.00%,100.29%,472.05%,-,-,-,-
EPS (Basic),-0.14,0.04,0.22,0.09,-0.10,0.22,-0.40,-0.01
EPS (Diluted),-0.14,0.04,0.22,0.09,-0.10,0.22,-0.40,-0.01
EPS Growth,-,-81.82%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.03,-0.03,-0.01,-0.01,-0.01,-0.01,-0.12,-
Effective Tax Rate,-,16.82%,-0.33%,-,-,-,-,-
EBITDA,-2.75,1.07,4.67,2,-1.34,4.69,-4.31,-0.04
EBIT,-2.75,1.07,4.67,2,-1.34,4.69,-4.31,-0.04
