Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30
Revenue,214.55,180.31,171.95,64.8,124.02,317.5,124.23,98.76,78.34,69.71,56.42,-8.42,29.57,32.99,29.25,22.51,26.39,17.44,7.4,9.37,-1.43,35.82,13.98,10.31,2.87,5.22
Revenue Growth (YoY),73.00%,-43.21%,38.41%,-34.39%,58.30%,355.46%,120.21%,-,164.94%,111.31%,92.88%,-,12.04%,89.17%,295.15%,140.22%,-,-51.32%,-47.07%,-9.10%,-,586.42%,-,-,-,-
Cost of Revenue,17.42,17.48,16.69,0,0,13.51,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross Profit,197.13,162.84,155.26,64.8,124.02,303.99,112.93,98.76,78.34,69.71,56.42,-8.42,29.57,32.99,29.25,22.51,26.39,17.44,7.4,9.37,-1.43,35.82,13.98,10.31,2.87,5.22
"Selling, General & Admin",50.61,37.76,38,25.02,28.24,21.77,19.42,13.22,10.34,15.87,14.43,-18.9,17.06,14.39,13.13,11.86,12.12,10.04,9.11,7.55,6.7,3.78,3.66,2.56,2.46,2.03
Other Operating Expenses,43.02,18.63,22.75,15.04,20.55,23.44,21.2,21.68,18.31,19.95,9.36,5,5.8,4.37,3.27,4.24,1.65,1.39,0.71,0.36,1.15,0.45,0.33,0.07,0.27,0.15
Operating Expenses,93.63,56.39,60.75,40.06,48.79,45.21,40.63,34.89,28.65,35.82,23.79,-13.9,22.86,18.75,16.4,16.1,13.77,11.43,9.82,7.91,7.84,4.23,4,2.63,2.73,2.18
Operating Income,103.5,106.45,94.5,24.74,75.23,258.78,72.31,63.86,49.7,33.89,32.63,5.49,6.71,14.24,12.85,6.41,12.63,6.01,-2.42,1.46,-9.27,31.59,9.99,7.68,0.14,3.04
Interest Expense / Income,52.04,40.86,40.07,21.02,18.43,16.72,14.25,9.8,3.22,4.7,3.74,1.59,2.71,2.74,3.16,3.18,3.18,3.68,4.61,4.91,4.61,3.18,2.03,1.34,1.12,0.78
Other Expense / Income,-16.47,26.7,-15.51,93.77,3.79,3.21,-2.49,-9.98,-2.5,0.92,0.42,0.44,-0.99,-0.13,-,-,-,-,-,0.42,-,-,-,0,-,-
Pretax Income,67.93,38.88,69.95,-90.05,53,238.86,60.55,64.04,48.97,28.27,28.46,3.46,4.99,11.63,9.69,3.23,9.45,2.33,-7.03,-3.87,-13.88,28.41,7.96,6.34,-0.99,2.25
Income Tax,5.07,12.62,8.88,-0.45,1.77,32.09,5.13,11.66,6.6,4.58,4.61,0.64,-0.05,2.87,1.48,0.36,0.55,0.61,-0.15,-0.13,-0.41,1,-0.03,0.44,-0.41,-0.08
Net Income,62.86,26.26,61.07,-89.6,51.23,206.76,55.42,52.38,42.37,23.69,23.85,2.82,5.04,8.77,8.21,2.87,8.9,1.72,-6.88,-3.74,-13.47,27.41,7.99,5.9,-0.57,2.34
Net Income Growth,22.71%,-87.30%,10.19%,-,20.90%,772.78%,132.34%,1759.28%,740.59%,170.28%,190.39%,-1.88%,-43.36%,411.08%,-,-,-,-93.74%,-,-,-,1072.46%,-,-,-,-
Shares Outstanding (Basic),59,59,60,60,60,60,59,58,58,58,58,58,58,58,58,58,58,58,58,33,45,23,11,11,11,11
Shares Outstanding (Diluted),60,60,60,60,60,60,60,59,58,58,58,58,58,58,58,58,58,58,58,33,45,23,11,11,11,11
Shares Change,-0.02%,0.01%,0.02%,1.77%,1.85%,1.79%,1.84%,0.87%,0.10%,0.26%,0.35%,-0.47%,0.24%,0.16%,0.10%,74.50%,29.39%,158.31%,414.69%,197.79%,301.45%,100.97%,-,-,-,-
