Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30
"Selling, General & Admin",0.71,0.52,0.1,0.99,0.45,0.59,0.46,0.22,0.34,0,0
Operating Expenses,0.71,0.52,0.1,0.99,0.45,0.59,0.46,0.22,0.34,0,0
Operating Income,-0.71,-0.52,-0.1,-0.99,-0.45,-0.59,-0.46,-0.22,-0.34,0,0
Other Expense / Income,0.34,-1.99,-0.91,-3.55,-1.76,-3.79,1.13,-6,2.19,-,-
Pretax Income,-1.05,1.46,0.81,2.57,1.31,3.2,-1.59,5.78,-2.54,0,0
Income Tax,-0,0,0,0,0,0,0,0,0,0,0
Net Income,-1.05,1.46,0.81,2.57,1.31,3.2,-1.59,5.78,-2.54,0,0
Net Income Growth,-,-54.41%,-,-55.55%,-,-,-,-,-,-,-
Shares Outstanding (Basic),9,7,10,15,15,15,15,15,5,3,3
Shares Outstanding (Diluted),9,7,10,15,15,15,15,15,5,3,3
Shares Change,-36.52%,-49.85%,-28.23%,0.10%,214.82%,409.01%,485.00%,-,-,-,-
EPS (Basic),-0.04,0.20,0.08,0.18,0.08,0.22,-0.11,0.39,-0.55,-,-
EPS (Diluted),-0.04,0.20,0.08,0.18,0.08,0.22,-0.11,0.39,-0.55,-,-
EPS Growth,-,-9.09%,-,-53.85%,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.15,-0.09,-0.07,-0.02,-,-0.01,-0.01,-0.02,-0.06,-,-
Effective Tax Rate,-,0.25%,-,-,-,-,-,-,-,-,-
EBITDA,-1.05,1.46,0.81,2.57,1.31,3.2,-1.59,5.78,-2.54,0,0
EBIT,-1.05,1.46,0.81,2.57,1.31,3.2,-1.59,5.78,-2.54,0,0
