Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31
Revenue,17.28,18.95,23.54,20.62,26.97,31.4,24.3,25.14,24.42,-1.85,24.69,24.07,8.32,31.9,32.92,32.6,35.14,35.68,34.61,35.03,33.59,29.14,30.75,24.46,26.86,-,-
Revenue Growth (YoY),-35.93%,-39.66%,-3.12%,-17.95%,10.46%,-,-1.60%,4.41%,193.54%,-,-25.00%,-26.16%,-76.33%,-10.60%,-4.87%,-6.94%,4.62%,22.42%,12.55%,43.21%,25.07%,-,-,-,-,-,-
Gross Profit,17.28,18.95,23.54,20.62,26.97,31.4,24.3,25.14,24.42,-1.85,24.69,24.07,8.32,31.9,32.92,32.6,35.14,35.68,34.61,35.03,33.59,29.14,30.75,24.46,26.86,-,-
"Selling, General & Admin",12.26,11.97,12.17,8.52,12.56,11.9,5.57,11.37,10.39,11.67,10.13,9.9,9.48,9,10.21,10.26,10.25,10.72,9.51,9.49,8.83,9.17,8.27,7.2,7.2,-,-
Other Operating Expenses,5.58,25.14,9.45,10.98,6.86,7.97,5.5,8.58,10.94,3.18,14.85,10.15,4.76,38.4,3.22,3.47,2.87,2.96,3.02,3.14,2.67,2.77,2.06,2.19,1.89,0,0
Operating Expenses,17.84,37.11,21.62,19.49,19.42,19.86,11.08,19.94,21.33,14.86,24.97,20.05,14.24,47.4,13.43,13.73,13.12,13.68,12.53,12.62,11.5,11.94,10.34,9.39,9.09,-,-
Operating Income,-0.56,-18.16,1.92,1.13,7.55,11.54,13.22,5.19,3.08,-16.71,-0.28,4.03,-5.92,-15.51,19.5,18.88,22.02,21.99,22.08,22.41,22.09,17.2,20.41,15.07,17.77,-,-
Pretax Income,-0.56,-18.16,1.92,1.13,7.55,11.54,13.22,5.19,3.08,-16.71,-0.28,4.03,-5.92,-15.51,19.5,18.88,22.02,21.99,22.08,22.41,22.09,17.2,20.41,15.07,17.77,-,-
Income Tax,-0.05,0.27,0.74,3.33,2.29,3.48,3.67,1.74,0.76,-5.01,-0.17,1.16,-1.89,-1.75,5.61,5.44,6.34,6,6.34,6.43,6.34,10.67,8.32,6.13,7.35,-,-
Net Income,-0.5,-18.43,1.18,-2.2,5.26,8.06,9.56,3.45,2.33,-11.69,-0.11,2.87,-4.03,-13.75,13.88,13.43,15.68,16,15.74,15.98,15.75,6.53,12.09,8.94,10.42,-,-
Net Income Growth,-,-,-87.69%,-,126.24%,-,-,20.40%,-,-,-,-78.66%,-,-,-11.80%,-15.94%,-0.42%,144.92%,30.18%,78.81%,51.20%,-,-,-,-,-,-
Shares Outstanding (Basic),50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,52,53,53,53,53,53,49,45,45,45,45,46
Shares Outstanding (Diluted),50,50,51,50,50,50,50,50,50,50,50,50,50,50,50,52,53,53,53,53,53,49,45,45,45,-,-
Shares Change,0.08%,-1.00%,0.62%,0.65%,0.99%,0.95%,0.84%,0.44%,0.15%,-0.33%,-1.18%,-3.26%,-5.18%,-5.58%,-4.77%,-2.73%,-0.76%,7.95%,17.00%,17.00%,16.99%,8.38%,-1.90%,-,-,-,-
