Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
"Selling, General & Admin",0.39,2.8,-0.76,-0.27,0,-
Operating Expenses,0.39,2.8,-0.76,-0.27,0,-
Operating Income,-0.39,-2.8,0.76,0.27,-0,-
Other Expense / Income,-0.84,-2.72,1.17,0.46,-,-
Pretax Income,0.45,-0.08,-0.41,-0.18,-0,-
Net Income,0.45,-0.08,-0.41,-0.18,-0,-
Shares Outstanding (Basic),10,7,10,7,2,0
Shares Outstanding (Diluted),10,7,10,7,2,-
Shares Change,431.30%,4948.13%,-,-,-,-
EPS (Basic),-,0.17,-0.08,-1.80,-,-
EPS (Diluted),-,0.17,-0.08,-1.80,-,-
Free Cash Flow Per Share,-0.04,-0.04,-0.01,-0.07,-,-
EBITDA,0.45,-0.08,-0.41,-0.18,-0,-
EBIT,0.45,-0.08,-0.41,-0.18,-0,-
