Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",0.31,0.26,0.34,0.35,0.14,0,0,0
Other Operating Expenses,0.05,0.06,0.05,0.05,0.13,0,0,0.05
Operating Expenses,0.36,0.32,0.39,0.4,0.28,0,0,0.05
Operating Income,-0.36,-0.32,-0.39,-0.4,-0.28,-0,-0,-0.05
Other Expense / Income,-1.94,-3.23,-6.79,-11.52,5.79,-,-,-
Pretax Income,1.57,2.91,6.41,11.12,-6.07,-0,-0,-0.05
Income Tax,0.56,0.34,-0.01,0,0,0,0,0
Net Income,1.01,2.57,6.42,11.12,-6.07,-0,-0,-0.05
Shares Outstanding (Basic),37,37,37,37,11,7,7,6
Shares Outstanding (Diluted),37,37,37,37,11,7,7,6
Shares Change,248.92%,475.00%,475.00%,564.44%,-,-,-,-
EPS (Basic),0.03,0.07,0.17,0.30,-0.56,-,-,-0.01
EPS (Diluted),0.03,0.07,0.17,0.30,-0.56,-,-,-0.01
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.00,-0.00,-,-,-
Effective Tax Rate,35.76%,11.55%,-0.20%,-,-,-,-,-
EBITDA,1.57,2.91,6.41,11.12,-6.07,-0,-0,-0.05
EBIT,1.57,2.91,6.41,11.12,-6.07,-0,-0,-0.05
