Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-28,2013-09-30
Revenue,101.79,111.96,108.29,146.69,110.7,116.31,105.01,105.98,105.16,101.3,85.13,70.67,49.68,74.69,69.64,67.36,67.84,69.77,61.04,53.3,49.75,47.86,43.11,42.31,51.43,37.31,33.7,27.64,27.98,27.44,29.36,26.87,35.74,23.24,34.82,20.77,20.54,27.82,7.11
Revenue Growth (YoY),-8.05%,-3.74%,3.12%,38.40%,5.27%,14.81%,23.36%,49.97%,111.67%,35.63%,22.24%,4.91%,-26.76%,7.06%,14.10%,26.39%,36.34%,45.76%,41.58%,25.96%,-3.25%,28.30%,27.93%,53.10%,83.79%,35.94%,14.76%,2.84%,-21.71%,18.09%,-15.68%,29.40%,74.01%,-16.48%,389.79%,-,-,-,-
Gross Profit,101.79,111.96,108.29,146.69,110.7,116.31,105.01,105.98,105.16,101.3,85.13,70.67,49.68,74.69,69.64,67.36,67.84,69.77,61.04,53.3,49.75,47.86,43.11,42.31,51.43,37.31,33.7,27.64,27.98,27.44,29.36,26.87,35.74,23.24,34.82,20.77,20.54,27.82,7.11
"Selling, General & Admin",73.59,70.72,70,72.37,63.03,68.22,58.65,55.04,48.55,47.65,43.9,42.36,42.7,41.33,39.98,39.41,37.44,35.41,37.11,28.11,26.85,23.6,22.06,21.5,27.43,20.34,19.37,15.65,15.7,15.98,15.56,15.05,16.27,15.51,14.41,12.44,11.6,10.42,5.43
Other Operating Expenses,15.7,16.05,16.69,16.24,15.53,14.78,14.16,15.76,12.34,11.65,11.4,10.36,12.06,11.33,12.17,11.3,11.13,11.55,11.84,9.29,7.2,9.63,6.16,5.82,7.41,6.58,6.43,4.68,4.38,4.93,4.99,4.59,4.51,4.18,4.05,3.73,3.3,4.24,1.11
Operating Expenses,89.28,86.77,86.69,88.61,78.56,83,72.81,70.8,60.89,59.3,55.3,52.73,54.75,52.66,52.15,50.7,48.57,46.96,48.95,37.4,34.04,33.23,28.23,27.32,34.84,26.91,25.79,20.33,20.08,20.9,20.55,19.64,20.78,19.69,18.46,16.16,14.9,14.66,6.55
Operating Income,12.51,25.19,21.6,58.08,32.14,33.3,32.2,35.19,44.26,42.01,29.83,17.95,-5.07,22.03,17.49,16.66,19.27,22.8,12.09,15.89,15.71,14.63,14.89,14.99,16.59,10.4,7.91,7.31,7.9,6.54,8.82,7.24,14.96,3.55,16.36,4.61,5.64,13.17,0.56
Other Expense / Income,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.59,0.58,0.5,0.39,0.87,-
Pretax Income,12.51,25.19,21.6,58.08,32.14,33.3,32.2,35.19,44.26,42.01,29.83,17.95,-5.07,22.03,17.49,16.66,19.27,22.8,12.09,15.89,15.71,14.63,14.89,14.99,16.59,10.4,7.91,7.31,7.9,6.54,8.82,7.24,14.96,2.97,15.78,4.11,5.26,12.3,0.56
Income Tax,1.5,7.63,5.37,13.89,7.81,6.66,7.77,7.2,10.34,9.88,6.93,4.51,-0.62,5.32,3.17,3.93,4.48,4.72,2.92,3.51,3.64,8.33,5.1,5.33,6.12,4.13,3.1,2.68,2.9,2.03,2.89,2.59,0.91,0.75,6.09,1.63,1.92,1.45,0.21
