Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
"Selling, General & Admin",0.45,0.44,1.52,0.93,0.27,4.9,0.38,0.47,0.15,0.01
Operating Expenses,0.45,0.44,1.52,0.93,0.27,4.9,0.38,0.47,0.15,0.01
Operating Income,-0.45,-0.44,-1.52,-0.93,-0.27,-4.9,-0.38,-0.47,-0.15,-0.01
Other Expense / Income,-0.27,-1.61,-1.29,-9.55,-3.45,-4.33,-19.45,5.99,6.96,-
Pretax Income,-0.18,1.17,-0.23,8.62,3.18,-0.57,19.07,-6.46,-7.11,-0.01
Income Tax,0.02,0.01,0.01,0,0,0,0,0,0,0
Net Income,-0.2,1.16,-0.23,8.62,3.18,-0.57,19.07,-6.46,-7.11,-0.01
Shares Outstanding (Basic),12,13,33,38,38,38,38,38,13,6
Shares Outstanding (Diluted),12,13,33,38,38,38,38,38,13,6
Shares Change,-67.84%,-66.52%,-12.43%,-,194.03%,500.00%,-,-,-,-
EPS (Basic),0.42,0.09,-0.01,0.23,0.09,-0.02,0.51,-0.86,-0.56,-
EPS (Diluted),0.42,0.09,-0.01,0.23,0.09,-0.02,0.51,-0.86,-0.56,-
EPS Growth,366.67%,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.02,-0.01,0.00,-0.00,-0.00,-0.00,-0.01,-0.01,-0.05,-0.00
Effective Tax Rate,-,1.20%,-,-,-,-,-,-,-,-
EBITDA,-0.18,1.17,-0.23,8.62,3.18,-0.57,19.07,-6.46,-7.11,-0.01
EBIT,-0.18,1.17,-0.23,8.62,3.18,-0.57,19.07,-6.46,-7.11,-0.01
