Metrics,2023-03-31,2022-12-31,2022-09-30,2022-03-31,2021-12-31,2021-09-30,2020-12-31
Revenue,189.93,187.37,158.09,152.67,147.27,137.86,-
Revenue Growth (YoY),28.97%,35.91%,-,-,-,-,-
Cost of Revenue,114.9,108.98,111.75,89.99,104.58,89.71,-
Gross Profit,75.03,78.39,46.35,62.68,42.69,48.15,-
"Selling, General & Admin",51.66,49.91,47.34,40.53,39.51,34.05,-
Other Operating Expenses,1.5,0.39,0.39,0.39,0.39,0.39,0
Operating Expenses,53.16,50.3,47.73,40.92,39.89,34.45,-
Operating Income,21.87,28.09,-1.38,21.76,2.79,13.71,-
Interest Expense / Income,2.15,2.13,1.74,1.18,1.16,1.16,-
Pretax Income,19.72,25.96,-3.12,20.58,1.64,12.55,-
Income Tax,4.17,5.55,-0.72,4.27,0.32,2.59,-
Net Income,15.56,20.42,-2.4,16.31,1.32,9.96,-
Preferred Dividends,1.27,9.76,0,7.82,0.62,4.81,-
Net Income Common,14.28,10.66,-2.4,8.49,0.69,5.15,-
Net Income Growth,1960.89%,106.91%,-,-,-,-,-
Shares Outstanding (Basic),33,17,16,16,16,16,16
Shares Outstanding (Diluted),37,33,16,32,33,32,-
Shares Change,12.89%,1.08%,1.55%,-,-,-,-
EPS (Basic),0.43,0.64,-0.15,0.52,0.04,0.32,-
EPS (Diluted),0.42,0.63,-0.15,0.50,0.04,0.31,-
EPS Growth,950.00%,103.23%,-,-,-,-,-
Free Cash Flow Per Share,3.25,4.89,-,2.77,2.31,-,-
Gross Margin,39.50%,41.84%,29.32%,41.06%,28.98%,34.93%,-
Operating Margin,11.52%,14.99%,-0.87%,14.25%,1.90%,9.94%,-
Profit Margin,7.52%,5.69%,-1.52%,5.56%,0.47%,3.74%,-
Free Cash Flow Margin,56.12%,44.05%,-,29.77%,25.69%,-,-
Effective Tax Rate,21.12%,21.36%,-,20.74%,19.62%,20.62%,-
EBITDA,21.87,32.19,-,21.76,8.4,-,-
EBITDA Margin,11.52%,17.18%,-,14.25%,5.70%,-,-
Depreciation & Amortization,0,4.1,-,0,5.6,-,-
EBIT,21.87,28.09,-1.38,21.76,2.79,13.71,-
EBIT Margin,11.52%,14.99%,-0.87%,14.25%,1.90%,9.94%,-
