Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",0.37,0.36,0.38,0.4,0.52,0.84,0.42,0.15,0
Operating Expenses,0.37,0.36,0.38,0.4,0.52,0.84,0.42,0.15,0
Operating Income,-0.37,-0.36,-0.38,-0.4,-0.52,-0.84,-0.42,-0.15,-0
Other Expense / Income,-6.55,-7.68,-7.91,-10.19,-4.93,-5.48,7.85,3.99,-
Pretax Income,6.18,7.32,7.53,9.79,4.41,4.64,-8.27,-4.14,-0
Income Tax,0.95,0.58,0.1,0,0,0,0,0,0
Net Income,5.23,6.74,7.43,9.79,4.41,4.64,-8.27,-4.14,-0
Net Income Growth,18.73%,45.36%,-,-,-,-,-,-,-
Shares Outstanding (Basic),69,69,69,69,69,69,69,39,10
Shares Outstanding (Diluted),69,69,69,69,69,69,69,39,10
Shares Change,-0.12%,-,-,78.76%,590.82%,-,-,-,-
EPS (Basic),0.07,0.10,0.11,0.14,0.08,0.07,-0.12,-0.11,-
EPS (Diluted),0.07,0.10,0.11,0.14,0.08,0.07,-0.12,-0.11,-
EPS Growth,-12.50%,42.86%,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.00,-0.00,-0.00,-0.00,-0.01,-0.00,-0.00,-0.03,-
Effective Tax Rate,15.30%,7.89%,1.35%,-,-,-,-,-,-
EBITDA,6.18,7.32,7.53,9.79,4.41,4.64,-8.27,-4.14,-0
EBIT,6.18,7.32,7.53,9.79,4.41,4.64,-8.27,-4.14,-0
