Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31
Revenue,377.62,350.51,314.05,273.29,264.16,281.62,269.19,249.02,221.57,221.25,187.06,190.24,204.73,202.26,188.15,176.14,151.48,126.83,110.49,86.1,65.44,56.37,47.35,32.84,23.31,17.45,10.73,0.63,0
Revenue Growth (YoY),42.95%,24.46%,16.67%,9.75%,19.22%,27.29%,43.91%,30.89%,8.23%,9.39%,-0.58%,8.01%,35.16%,59.47%,70.30%,104.57%,131.46%,124.98%,133.32%,162.19%,180.72%,223.08%,341.49%,5120.83%,-,-,-,-,-
Cost of Revenue,85.82,82.04,78.02,73.41,73.37,76.01,73.27,69.28,63.89,55.01,18.23,17.3,16.9,16.26,14.76,15.46,15.19,14.05,13.32,12.74,12.04,11.15,8.64,6.26,5.01,4.57,2.47,1.63,0.57
Gross Profit,291.8,268.46,236.03,199.87,190.79,205.61,195.92,179.74,157.69,166.25,168.83,172.94,187.84,186,173.39,160.68,136.29,112.78,97.16,73.36,53.41,45.22,38.72,26.58,18.3,12.88,8.25,-1,-0.57
"Selling, General & Admin",2.93,2.89,2.66,2.41,2.42,2.56,3.38,2.62,2.06,2.59,1.84,1.96,2.4,2.3,2.87,2.08,1.76,1.12,1.41,1.75,1.21,1.25,1.5,0.88,1.23,1.26,0.98,0.72,0.23
Other Operating Expenses,3.67,3.69,3.79,3.41,3.83,4.11,3.85,3.35,3.77,4.87,3.33,3.3,3.15,2.67,2.89,2.34,2.12,2.26,2.52,1.63,1.41,1.47,1.52,1.18,1.26,0.93,0.92,0.87,1.53
Operating Expenses,6.6,6.58,6.45,5.82,6.25,6.66,7.23,5.97,5.83,7.46,5.17,5.26,5.55,4.97,5.75,4.42,3.88,3.38,3.94,3.38,2.62,2.72,3.02,2.06,2.49,2.2,1.91,1.59,1.75
Operating Income,285.2,261.88,229.59,194.06,184.54,198.95,188.7,173.77,151.86,158.79,163.66,167.68,182.29,181.03,167.64,156.26,132.41,109.4,93.23,69.97,50.79,42.5,35.7,24.52,15.81,10.69,6.34,-2.6,-2.32
Interest Expense / Income,103.96,97.6,81.21,67.35,61.38,60.1,56.52,54.45,48.08,42.41,37.39,39.19,33.96,35.42,29.43,36.86,34.73,26.23,21.39,17.1,12.06,9.03,7.29,5.23,3.03,1.98,0.77,0,0
Other Expense / Income,-24.26,-33.39,-118.65,160.07,78.37,-36.15,-16.74,-32.64,-57.82,-69.75,-88.61,-174.46,458.85,5.18,19.25,-5.05,-18.48,47.97,-0.72,1.63,-5.6,-4.83,1.09,-0.78,-5.43,-4.69,-2.42,-0.52,-
