Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
"Selling, General & Admin",0.21,0.15,0.14,0.37,0.25,0.1,0
Other Operating Expenses,0.05,0.05,0.05,0.05,0.05,0.12,0
Operating Expenses,0.26,0.2,0.19,0.42,0.3,0.22,0
Operating Income,-0.26,-0.2,-0.19,-0.42,-0.3,-0.22,-0
Other Expense / Income,-3.29,-2.59,-1.38,-0.41,-0.03,-0,-
Pretax Income,3.03,2.38,1.19,-0.01,-0.27,-0.22,-0
Income Tax,0.68,0.5,0.29,0.07,0,0,0
Net Income,2.35,1.88,0.9,-0.08,-0.27,-0.22,-0
Shares Outstanding (Basic),42,42,42,42,42,21,9
Shares Outstanding (Diluted),42,42,42,42,42,21,9
Shares Change,-,103.47%,351.40%,-,-,-,-
EPS (Basic),0.06,0.05,0.02,-,-0.01,-0.01,-
EPS (Diluted),0.06,0.05,0.02,-,-0.01,-0.01,-
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.00,-0.01,-0.03,-
Effective Tax Rate,22.43%,21.03%,24.35%,-,-,-,-
EBITDA,3.03,2.38,1.19,-0.01,-0.27,-0.22,-0
EBIT,3.03,2.38,1.19,-0.01,-0.27,-0.22,-0
