Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",0.21,0.21,0.22,0.23,0.29,0.26,0,0.01
Operating Expenses,0.21,0.21,0.22,0.23,0.29,0.26,0,0.01
Operating Income,-0.21,-0.21,-0.22,-0.23,-0.29,-0.26,-0,-0.01
Other Expense / Income,-2.11,-1.13,-0.34,-0.03,-0.01,-0,-,-
Pretax Income,1.91,0.92,0.12,-0.21,-0.28,-0.26,-0,-0.01
Net Income,1.91,0.92,0.12,-0.21,-0.28,-0.26,-0,-0.01
Shares Outstanding (Basic),32,32,32,32,21,32,6,5
Shares Outstanding (Diluted),32,32,32,32,21,32,6,5
Shares Change,52.19%,0.92%,479.82%,537.80%,-,-,-,-
EPS (Basic),0.06,0.03,-,-0.01,-0.01,-0.01,-,-
EPS (Diluted),0.06,0.03,-,-0.01,-0.01,-0.01,-,-
Free Cash Flow Per Share,-0.00,-0.00,-0.00,-0.00,-0.00,-0.04,-0.00,-
EBITDA,1.91,0.92,0.12,-0.21,-0.28,-0.26,-0,-0.01
EBIT,1.91,0.92,0.12,-0.21,-0.28,-0.26,-0,-0.01
