Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2019-12-31
Revenue,218.35,197,216.76,206.02,167.81,154.39,168.09,167.41,129.2,121.45,135.78,-
Revenue Growth (YoY),30.12%,27.61%,28.96%,23.06%,29.88%,27.12%,23.79%,-,-,-,-,-
Cost of Revenue,103.84,99.36,111.02,83.88,79.3,74.16,69.49,62.83,56.58,54.41,50.49,-
Gross Profit,114.52,97.64,105.74,122.14,88.51,80.23,98.59,104.58,72.62,67.03,85.29,-
"Selling, General & Admin",111.73,105.5,118.07,111.46,94.37,94.37,90.95,85.28,73.34,73.5,69.42,-
Other Operating Expenses,19.28,27.87,8.89,8.3,7.15,6.86,5.89,5.03,4.37,3.08,3.57,0
Operating Expenses,131,133.37,126.96,119.76,101.52,101.23,96.83,90.31,77.71,76.58,72.99,-
Operating Income,-16.49,-35.73,-21.22,2.39,-13,-21.01,1.76,14.27,-5.1,-9.55,12.3,-
Interest Expense / Income,-5.65,-2.4,-0.66,0.35,0.68,0.95,0.42,0.19,0.44,0.99,0,-
Other Expense / Income,-12.41,-31.66,-35.18,5.43,-43.23,27.75,-0.07,-0.09,-0.05,-0.04,-0.04,-
Pretax Income,1.57,-1.67,14.62,-3.4,29.54,-49.71,1.41,14.18,-5.49,-10.49,12.34,-
Income Tax,3.67,2.94,-0.09,2.14,2.03,1.96,1.89,1.58,1.32,1.07,1.32,-
Net Income,-2.1,-4.61,14.71,-5.54,27.51,-51.67,-0.48,12.59,-6.81,-11.57,11.02,-
Shares Outstanding (Basic),83,83,83,82,82,82,0,0,0,0,0,0
Shares Outstanding (Diluted),83,338,337,82,336,82,0,0,0,-,0,-
Shares Change,-75.22%,311.06%,336668.00%,82352.00%,335803.00%,82227.00%,-,32.16%,-,-,-,-
EPS (Basic),-0.03,-0.05,0.18,-0.07,0.33,-53.65,-4.79,-,-,-,110.21,-
EPS (Diluted),-0.03,-0.10,0.07,-0.07,-0.01,-53.65,-4.79,-,-,-,110.21,-
Free Cash Flow Per Share,0.04,-0.59,0.26,0.48,-0.02,-0.67,51.57,386.03,104.36,-81.61,-35.70,-
Gross Margin,52.45%,49.56%,48.78%,59.29%,52.75%,51.97%,58.66%,62.47%,56.21%,55.20%,62.82%,-
Operating Margin,-7.55%,-18.13%,-9.79%,1.16%,-7.75%,-13.61%,1.05%,8.53%,-3.94%,-7.86%,9.06%,-
Profit Margin,-0.96%,-2.34%,6.79%,-2.69%,16.39%,-33.47%,-0.28%,7.52%,-5.27%,-9.53%,8.12%,-
Free Cash Flow Margin,1.65%,-24.96%,10.02%,19.38%,-0.90%,-35.81%,3.07%,23.06%,8.08%,-6.72%,-2.63%,-
Effective Tax Rate,233.78%,-,-0.62%,-,6.87%,-,134.00%,11.17%,-,-,10.71%,-
EBITDA,9.67,16.36,22.85,5.26,37.37,-41.89,7.71,19.39,-0.68,-5.9,15.56,-
EBITDA Margin,4.43%,8.30%,10.54%,2.55%,22.27%,-27.13%,4.59%,11.58%,-0.53%,-4.86%,11.46%,-
Depreciation & Amortization,13.74,20.43,8.89,8.3,7.15,6.86,5.89,5.03,4.37,3.6,3.22,-
EBIT,-4.08,-4.07,13.96,-3.05,30.22,-48.75,1.83,14.37,-5.05,-9.51,12.34,-
EBIT Margin,-1.87%,-2.07%,6.44%,-1.48%,18.01%,-31.58%,1.09%,8.58%,-3.91%,-7.83%,9.09%,-
