Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
"Selling, General & Admin",0.57,0.26,0.34,0.52,-0.03,0.03
Other Operating Expenses,0,0,0,0,0.21,0
Operating Expenses,0.57,0.26,0.34,0.52,0.19,0.03
Operating Income,-0.57,-0.26,-0.34,-0.52,-0.19,-0.03
Other Expense / Income,-2.31,-1.4,-0.13,-0.09,-0,-
Pretax Income,1.74,1.14,-0.21,-0.42,-0.19,-0.03
Net Income,1.74,1.14,-0.21,-0.42,-0.19,-0.03
Shares Outstanding (Basic),35,35,35,35,13,7
Shares Outstanding (Diluted),35,35,35,35,13,7
Shares Change,160.68%,375.08%,-,-,-,-
EPS (Basic),0.07,-0.03,-0.01,-0.01,-0.01,-
EPS (Diluted),0.07,-0.03,-0.01,-0.01,-0.01,-
Free Cash Flow Per Share,-0.03,0.01,-0.00,-0.00,-,-
EBITDA,1.74,1.14,-0.21,-0.42,-,-0.03
EBIT,1.74,1.14,-0.21,-0.42,-0.19,-0.03
