Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.23,0.23,0.28,0.23,0.08,0.01,0
Other Operating Expenses,0.05,0.05,0.05,0.05,0.04,0,0
Operating Expenses,0.28,0.27,0.32,0.28,0.12,0.01,0
Operating Income,-0.28,-0.27,-0.32,-0.28,-0.12,-0.01,0
Other Expense / Income,-0.87,-0.45,-0.14,-0.01,-0,-,-
Pretax Income,0.58,0.18,-0.18,-0.27,-0.11,-0.01,0
Income Tax,0.36,0,0,0,0,0,0
Net Income,0.23,0.18,-0.18,-0.27,-0.11,-0.01,0
Shares Outstanding (Basic),10,10,10,10,2,2,-
Shares Outstanding (Diluted),10,10,10,10,-,2,-
Shares Change,494.64%,360.00%,-,-,-,-,-
EPS (Basic),-0.10,-0.02,-0.01,-0.02,-3.06,-,-
EPS (Diluted),-0.10,-0.02,-0.01,-0.02,-3.06,-,-
Free Cash Flow Per Share,-0.01,-0.02,-0.02,-0.02,-0.16,-0.00,-
Effective Tax Rate,60.80%,-,-,-,-,-,-
EBITDA,0.58,0.18,-0.18,-0.27,-0.11,-0.01,0
EBIT,0.58,0.18,-0.18,-0.27,-0.11,-0.01,0
