Metrics,2023-01-31,2022-10-31,2022-07-31,2022-01-31,2021-10-31,2021-07-31,2021-01-31,2020-07-31,2020-01-31,2019-07-31,2019-01-31,2018-07-31,2017-07-31
Revenue,1.9,0.3,-,0.01,0.52,-,-,-,-,-,-,-,-
Revenue Growth (YoY),267.88%,-,-,-,-,-,-,-,-,-,-,-,-
Gross Profit,1.9,0.3,-,0.01,0.52,-,-,-,-,-,-,-,-
"Selling, General & Admin",0.63,0.57,-,0.83,1.1,-,-,-,-,-,-,-,-
Operating Expenses,0.63,0.57,-,0.83,1.1,-,-,-,-,-,-,-,-
Operating Income,1.27,-0.27,-,-0.82,-0.59,-,-,-,-,-,-,-,-
Interest Expense / Income,0.06,0,-,-0,0,-,-,-,-,-,-,-,-
Other Expense / Income,-0.17,-0.16,-,0.26,0.49,-,-,-,-,-,-,-,-
Pretax Income,1.38,-0.11,-,-1.08,-1.08,-,-,-,-,-,-,-,-
Income Tax,0.57,0,-,0,0,-,-,-,-,-,-,-,-
Net Income,0.81,-0.11,-,-1.08,-1.08,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),10,10,10,10,9,9,10,8,7,7,7,7,7
Shares Outstanding (Diluted),10,10,-,10,9,-,-,-,-,-,-,-,-
Shares Change,4.35%,1.52%,-2.94%,20.22%,24.43%,33.48%,39.99%,13.69%,5.93%,-,-,-,-
EPS (Basic),0.08,-0.01,-,-0.11,-0.12,-,-,-,-,-,-,-,-
EPS (Diluted),0.08,-0.01,-,-0.11,-0.12,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.12,0.04,-,0.05,0.01,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,-,100.00%,100.00%,-,-,-,-,-,-,-,-
Operating Margin,66.89%,-89.30%,-,-10669.53%,-113.61%,-,-,-,-,-,-,-,-
Profit Margin,42.68%,-37.51%,-,-14097.04%,-209.46%,-,-,-,-,-,-,-,-
Free Cash Flow Margin,-58.86%,118.52%,-,6199.93%,23.95%,-,-,-,-,-,-,-,-
Effective Tax Rate,41.15%,-,-,-,-,-,-,-,-,-,-,-,-
EBITDA,1.58,0.03,-,-0.92,-0.89,-,-,-,-,-,-,-,-
EBITDA Margin,83.23%,9.16%,-,-11958.16%,-171.98%,-,-,-,-,-,-,-,-
Depreciation & Amortization,0.15,0.14,-,0.16,0.19,-,-,-,-,-,-,-,-
EBIT,1.44,-0.11,-,-1.08,-1.08,-,-,-,-,-,-,-,-
EBIT Margin,75.57%,-37.51%,-,-14097.37%,-209.46%,-,-,-,-,-,-,-,-
