Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
"Selling, General & Admin",0.24,0.2,0.26,0.23,0,0
Operating Expenses,0.24,0.2,0.26,0.23,0,0
Operating Income,-0.24,-0.2,-0.26,-0.23,0,-0
Other Expense / Income,-3.95,0.37,-6.14,0.16,-,-
Pretax Income,3.71,-0.57,5.88,-0.39,0,-0
Net Income,3.71,-0.57,5.88,-0.39,0,-0
Shares Outstanding (Basic),29,20,29,19,5,6
Shares Outstanding (Diluted),29,21,29,19,5,6
Shares Change,475.00%,258.63%,-,-,-,-
EPS (Basic),0.13,-0.07,0.20,-0.02,-,-
EPS (Diluted),0.13,-0.07,0.20,-0.02,-,-
Free Cash Flow Per Share,-0.00,-0.01,-0.01,-0.03,-,-
EBITDA,3.71,-0.57,5.88,-0.39,0,-0
EBIT,3.71,-0.57,5.88,-0.39,0,-0
