Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.51,0.15,0.46,0.29,0,0,0
Other Operating Expenses,0.2,0,0,0,0,0,0
Operating Expenses,0.71,0.15,0.46,0.29,0,0,0
Operating Income,-0.71,-0.15,-0.46,-0.29,0,0,-0
Other Expense / Income,-0.54,-0.54,-0.17,0.05,-,-,-
Pretax Income,-0.17,0.39,-0.29,-0.34,0,0,-0
Income Tax,0.21,0,0,0,0,0,0
Net Income,-0.38,0.39,-0.29,-0.34,0,0,-0
Shares Outstanding (Basic),15,15,15,15,3,3,3
Shares Outstanding (Diluted),15,15,15,15,3,3,3
Shares Change,418.41%,418.38%,418.38%,-,-,-,-
EPS (Basic),-0.02,0.03,-0.04,-0.02,-,-,-
EPS (Diluted),-0.02,0.03,-0.04,-0.02,-,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.02,-0.02,-,-,-
EBITDA,-0.17,0.39,-0.29,-0.34,0,0,-0
EBIT,-0.17,0.39,-0.29,-0.34,0,0,-0
