Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",0.3,0.26,0.28,0.38,0.22,1.04,0.33,0.24,0.01
Operating Expenses,0.3,0.26,0.28,0.38,0.22,1.04,0.33,0.24,0.01
Operating Income,-0.3,-0.26,-0.28,-0.38,-0.22,-1.04,-0.33,-0.24,-0.01
Other Expense / Income,-3.26,-1.49,-1.51,-3.45,-0.5,-3.06,3.24,-3.84,-
Pretax Income,2.96,1.23,1.23,3.07,0.28,2.02,-3.58,3.6,-0.01
Net Income,2.96,1.23,1.23,3.07,0.28,2.02,-3.58,3.6,-0.01
Net Income Growth,959.76%,-38.96%,-,-14.64%,-,-,-,-,-
Shares Outstanding (Basic),37,37,37,37,37,37,37,26,6
Shares Outstanding (Diluted),37,37,37,37,37,37,37,26,6
Shares Change,-0.08%,-,-,40.05%,488.26%,-,-,-,-
EPS (Basic),0.08,0.03,0.03,0.08,0.01,0.05,-0.10,0.14,-
EPS (Diluted),0.08,0.03,0.03,0.08,0.01,0.05,-0.10,0.13,-
EPS Growth,700.00%,-40.00%,-,-38.46%,-,-,-,-,-
Free Cash Flow Per Share,-0.00,-0.00,-0.00,-0.01,-0.01,-0.01,-0.01,-0.02,-
EBITDA,2.96,1.23,1.23,3.07,0.28,2.02,-3.58,3.6,-0.01
EBIT,2.96,1.23,1.23,3.07,0.28,2.02,-3.58,3.6,-0.01
