Metrics,2020-06-30,2019-12-31,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2017-06-30,2016-06-30,2015-06-30,2014-06-30,2013-06-30,2012-06-30,2011-06-30,2010-06-30
Revenue,13.46,8.33,0,9.36,0,6.06,0,0,0,0,0,0,0,0
Revenue Growth (YoY),-,37.29%,-,-,-,-,-,-,-,-,-,-,-,-
General & Administrative,2.95,2.88,0,2.79,0,2.76,0,0,0,0,0,0,0,0
Operating Expenses,3.12,3.07,0,2.95,0,2.85,0,0,0,0,0,0,0,0
Operating Income,10.34,5.25,0,6.41,0,3.22,0,0,0,0,0,0,0,0
Interest Expense,1.2,11.78,0,11.09,0,-29.15,0,0,0,0,0,0,0,0
Other Expense / Income,87.72,-81.68,-,54.61,-,-63.36,-,-,-,-,-,-,-,-
Pretax Income,-78.59,75.15,0,-59.28,0,95.73,0,0,0,0,0,0,0,0
Net Income,-78.59,75.15,0,-59.28,0,95.73,0,0,0,0,0,0,0,0
Net Income Growth,-,-21.49%,-,-,-,-,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),26,26,-,26,-,25,-,-,-,25,25,25,25,25
Shares Outstanding (Diluted),26,26,-,26,-,25,-,-,-,25,25,25,25,25
Shares Change,-,2.88%,-,-,-,-,-,-,-,-,-,-,-,-
EPS (Basic),-3.05,2.87,-,-2.29,-,3.76,-,-,-,-,-,-,-,-
EPS (Diluted),-3.05,2.87,-,-2.29,-,3.76,-,-,-,-,-,-,-,-
EPS Growth,-,-23.69%,-,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-,-,-,-,-,0.29,0.64,0.22,0.80,0.15,0.32,0.38,-,0.65
Operating Margin,76.83%,63.07%,-,68.51%,-,53.02%,-,-,-,-,-,-,-,-
Profit Margin,-584.01%,902.69%,-,-633.59%,-,1578.61%,-,-,-,-,-,-,-,-
Free Cash Flow Margin,55.08%,200.94%,-,221.59%,-,136.48%,-,-,-,-,-,-,-,-
EBITDA,-77.38,86.93,0,-48.19,0,66.58,0,0,0,0,0,0,0,0
EBITDA Margin,-575.03%,1044.21%,-,-515.08%,-,1097.93%,-,-,-,-,-,-,-,-
Depreciation & Amortization,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
EBIT,-77.39,86.93,-,-48.2,-,66.57,-,-,-,-,-,-,-,-
EBIT Margin,-575.06%,1044.18%,-,-515.10%,-,1097.83%,-,-,-,-,-,-,-,-
