Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",0.32,0.25,0.27,0.27,0.33,0.25,0.53,0.09,0.01
Operating Expenses,0.32,0.25,0.27,0.27,0.33,0.25,0.53,0.09,0.01
Operating Income,-0.32,-0.25,-0.27,-0.27,-0.33,-0.25,-0.53,-0.09,-0.01
Other Expense / Income,-1.8,-3.91,-2.99,-2.62,-4.32,-2.26,-8.33,0.91,-
Pretax Income,1.48,3.66,2.72,2.36,3.98,2.01,7.8,-1,-0.01
Net Income,1.48,3.66,2.72,2.36,3.98,2.01,7.8,-1,-0.01
Net Income Growth,-62.80%,82.41%,-65.09%,-,-,-,-,-,-
Shares Outstanding (Basic),35,35,35,35,35,21,35,9,6
Shares Outstanding (Diluted),35,35,35,35,35,21,35,9,6
Shares Change,-,60.51%,-,291.21%,475.00%,-,-,-,-
EPS (Basic),0.04,0.11,0.08,0.07,0.12,0.03,0.23,-0.11,-
EPS (Diluted),0.04,0.11,0.08,0.07,0.12,0.03,0.23,-0.11,-
EPS Growth,-66.67%,266.67%,-65.22%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.00,-0.00,-0.00,-0.00,-0.01,-0.02,-0.01,-0.03,-
EBITDA,1.48,3.66,2.72,2.36,3.98,2.01,7.8,-1,-0.01
EBIT,1.48,3.66,2.72,2.36,3.98,2.01,7.8,-1,-0.01
