Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",3.33,0.47,0.74,0.56,0.25,0.1,0.07,0
Other Operating Expenses,0.05,0.05,0.05,0.05,0.16,0,0,0
Operating Expenses,3.38,0.52,0.79,0.61,0.42,0.1,0.07,0
Operating Income,-3.38,-0.52,-0.79,-0.61,-0.42,-0.1,-0.07,-0
Other Expense / Income,-0.84,-0.47,-1.74,-2.81,0.05,-1.39,-4.38,-
Pretax Income,-2.55,-0.05,0.95,2.2,-0.46,1.29,4.31,-0
Income Tax,0.11,0.11,0,0,0,0,0,0
Net Income,-2.66,-0.15,0.95,2.2,-0.46,1.29,4.31,-0
Net Income Growth,-,-,-77.95%,-,-,-,-,-
Shares Outstanding (Basic),12,15,15,15,12,15,10,3
Shares Outstanding (Diluted),12,15,15,15,12,15,10,3
Shares Change,4.95%,-,55.06%,420.36%,-,-,-,-
EPS (Basic),-0.17,0.01,0.06,0.15,-0.11,0.09,0.45,-
EPS (Diluted),-0.17,0.01,0.06,0.15,-0.11,0.09,0.45,-
EPS Growth,-,-88.89%,-86.67%,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.02,-0.01,-0.02,-0.01,-0.02,-0.00,-
EBITDA,-2.55,-0.05,0.95,2.2,-0.46,1.29,4.31,-0
EBIT,-2.55,-0.05,0.95,2.2,-0.46,1.29,4.31,-0
