Metrics,2022-09-30,2022-06-30,2022-03-31,2021-12-31
"Selling, General & Admin",0.72,0.74,1.12,-
Operating Expenses,0.72,0.74,1.12,-
Operating Income,-0.72,-0.74,-1.12,-
Other Expense / Income,-0.84,-0.14,-0.07,-
Pretax Income,0.12,-0.59,-1.05,-
Net Income,0.12,-0.59,-1.05,-
Shares Outstanding (Basic),22,22,12,3
Shares Outstanding (Diluted),22,22,12,-
EPS (Basic),0.01,-0.03,-0.09,-
EPS (Diluted),0.01,-0.03,-0.09,-
Free Cash Flow Per Share,-0.02,-0.02,-0.13,-
EBITDA,0.12,-0.59,-1.05,-
EBIT,0.12,-0.59,-1.05,-
