Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",4.59,5.18,1.76,1.66,1.37,1.03,0.09,0.01,0.01
Operating Expenses,4.59,5.18,1.76,1.66,1.37,1.03,0.09,0.01,0.01
Operating Income,-4.59,-5.18,-1.76,-1.66,-1.37,-1.03,-0.09,-0.01,-0.01
Interest Expense / Income,0.04,0,0,0,0,0,0,0,0
Other Expense / Income,0.6,-0.38,-3.76,-5.57,4.48,-1.63,-10.31,0,-
Pretax Income,-5.23,-4.8,2,3.91,-5.85,0.6,10.22,-0.01,-0.01
Net Income,-5.23,-4.8,2,3.91,-5.85,0.6,10.22,-0.01,-0.01
Net Income Growth,-,-,-80.44%,-,-,-,-,-,-
Shares Outstanding (Basic),33,33,33,33,33,20,23,6,6
Shares Outstanding (Diluted),33,33,33,33,33,20,23,6,6
Shares Change,-,66.92%,43.44%,430.30%,430.30%,-,-,-,-
EPS (Basic),-1.22,-1.28,0.06,0.12,-0.88,-0.20,0.44,-,-
EPS (Diluted),-1.22,-1.28,0.06,0.12,-0.88,-0.20,0.44,-,-
EPS Growth,-,-,-86.36%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.03,-0.03,-0.01,-0.03,-0.02,-0.02,-0.03,-,-
EBITDA,-5.19,-4.8,2,3.91,-5.85,0.6,10.22,-0.01,-0.01
EBIT,-5.19,-4.8,2,3.91,-5.85,0.6,10.22,-0.01,-0.01
