Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-14
"Selling, General & Admin",-0.12,-0.42,-0.57,-0.45,-0.3,-0.39,-0,0
Operating Expenses,-0.12,-0.42,-0.57,-0.45,-0.3,-0.39,-0,0
Operating Income,0.12,0.42,0.57,0.45,0.3,0.39,0,-0
Other Expense / Income,-1.54,-0.29,0.98,0.81,0.56,0.77,0,-
Pretax Income,1.67,0.72,-0.4,-0.36,-0.26,-0.38,-0,-0
Income Tax,0.41,0.19,0,0,0,0,0,0
Net Income,1.26,0.52,-0.4,-0.36,-0.26,-0.38,-0,-0
Shares Outstanding (Basic),27,29,29,29,29,28,5,5
Shares Outstanding (Diluted),27,29,29,29,29,28,5,5
Shares Change,-7.96%,2.18%,475.00%,475.00%,-,-,-,-
EPS (Basic),0.05,0.02,-0.01,-0.01,-0.01,-0.01,-,-
EPS (Diluted),0.05,0.02,-0.01,-0.01,-0.01,-0.01,-,-
Free Cash Flow Per Share,-0.02,-0.00,-0.02,-0.01,0.00,-0.03,-,-
Effective Tax Rate,24.36%,27.04%,-,-,-,-,-,-
EBITDA,1.67,0.72,-0.4,-0.36,-0.26,-0.38,-0,-0
EBIT,1.67,0.72,-0.4,-0.36,-0.26,-0.38,-0,-0
