Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2015-12-31,2014-12-31
Revenue,30.94,35.8,32.75,26.79,45.26,42.7,34.42,66.67,35.56,28.68,25.44,23.5,12.29,10.15,9.84,9.99,8.45,-,7.3,-,-
Revenue Growth (YoY),-31.64%,-16.16%,-4.86%,-59.83%,27.30%,48.88%,35.28%,183.74%,189.36%,182.72%,158.58%,135.31%,45.37%,-,34.74%,-,-,-,-,-,-
Gross Profit,30.94,35.8,32.75,26.79,45.26,42.7,34.42,66.67,35.56,28.68,25.44,23.5,12.29,10.15,9.84,9.99,8.45,-,7.3,-,-
"Selling, General & Admin",21.94,21.13,23.07,20.66,18.01,19.55,18.87,22.55,17.94,19.55,14.53,13.07,9.03,8.37,6.78,6.74,5.55,-,4.63,-,-
Other Operating Expenses,6.9,6.43,6.14,4.67,4.68,5.59,6.47,7.71,12.3,2.19,4.15,2.56,2.15,1.26,1.43,1.43,1.3,0,1.07,0,0
Operating Expenses,28.85,27.55,29.21,25.33,22.69,25.14,25.34,30.27,30.24,21.74,18.68,15.64,11.18,9.63,8.21,8.16,6.85,-,5.7,-,-
Operating Income,2.1,8.25,3.54,1.46,22.57,17.56,9.08,36.41,5.32,6.94,6.77,7.86,1.11,0.52,1.63,1.82,1.6,-,1.6,-,-
Other Expense / Income,-,-,-,-,-0.34,0.03,0.05,0.05,0.02,0.14,-0,-0,0.01,0,0,0.01,0.01,-,0,-,-
Pretax Income,2.1,8.25,3.54,1.46,22.91,17.53,9.02,36.36,5.31,6.8,6.77,7.87,1.1,0.51,1.63,1.82,1.59,-,1.6,-,-
Income Tax,0.49,1.95,0.8,0.34,5.15,4.73,2.21,7.72,1.08,1.22,1.71,1.64,0.27,-0.02,0.38,0.29,0.32,-,0.33,-,-
Net Income,1.6,6.3,2.74,1.12,17.76,12.79,6.81,28.65,4.23,5.58,5.06,6.22,0.83,0.53,1.25,1.53,1.27,-,1.27,-,-
Net Income Growth,-90.97%,-50.72%,-59.82%,-96.10%,319.96%,129.27%,34.51%,360.40%,408.17%,952.83%,305.04%,306.67%,-34.44%,-,-1.50%,-,-,-,-,-,-
Shares Outstanding (Basic),19,19,19,19,19,19,19,19,19,9,9,8,7,7,7,7,7,7,7,2,1
Shares Change,0.94%,0.91%,0.11%,0.78%,0.82%,118.87%,118.91%,119.37%,185.54%,31.56%,31.56%,30.20%,-,-,-,217.14%,363.28%,-,-,-,-
EPS (Basic),0.09,0.33,0.15,0.06,0.93,0.68,0.37,1.54,0.28,0.65,0.59,0.73,0.10,0.06,0.19,0.23,0.25,-,0.30,-,-
EPS (Diluted),0.09,0.33,0.15,0.06,0.93,0.68,0.36,1.54,0.28,0.65,0.59,0.73,0.10,0.06,0.19,0.23,0.25,-,0.30,-,-
EPS Growth,-90.32%,-51.47%,-58.33%,-96.10%,232.14%,4.62%,-38.98%,110.96%,180.00%,983.33%,205.70%,213.30%,-60.47%,-,-35.67%,-,-,-,-,-,-
Free Cash Flow Per Share,0.73,-1.53,0.69,0.80,5.06,2.43,0.32,-1.56,1.93,1.03,-3.82,-4.75,-7.11,0.71,-0.97,-2.79,-0.27,-0.21,-,-,-
Dividend Per Share,0.245,0.122,0.122,0.122,0.120,0.120,0.120,0.100,0.095,0.095,0.095,0.095,-,-,-,-,-,-,-,-,-
Dividend Growth,104.17%,1.67%,1.67%,22.00%,26.32%,26.32%,26.32%,5.26%,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-,100.00%,-,-
Operating Margin,6.77%,23.05%,10.80%,5.45%,49.87%,41.12%,26.37%,54.61%,14.97%,24.19%,26.59%,33.46%,9.02%,5.10%,16.59%,18.26%,18.96%,-,21.90%,-,-
Profit Margin,5.18%,17.61%,8.36%,4.17%,39.23%,29.96%,19.79%,42.96%,11.89%,19.45%,19.90%,26.48%,6.77%,5.22%,12.70%,15.32%,15.01%,-,17.38%,-,-
Free Cash Flow Margin,44.73%,-81.21%,39.49%,55.70%,209.84%,106.73%,17.49%,-43.45%,101.01%,30.82%,-128.81%,-171.67%,-377.26%,45.90%,-64.54%,-182.41%,-21.16%,-,-,-,-
Effective Tax Rate,23.44%,23.61%,22.65%,23.42%,22.49%,27.01%,24.53%,21.22%,20.32%,17.93%,25.21%,20.90%,24.29%,-3.11%,23.27%,15.84%,20.19%,-,20.59%,-,-
EBITDA,2.89,9.08,4.39,2.36,23.83,18.48,10.03,37.42,6.1,7.04,7.26,8.33,1.45,0.77,1.88,2.06,1.83,-,-,-,-
EBITDA Margin,9.35%,25.36%,13.40%,8.81%,52.65%,43.27%,29.15%,56.12%,17.16%,24.55%,28.55%,35.45%,11.82%,7.62%,19.12%,20.65%,21.64%,-,-,-,-
Depreciation & Amortization,0.8,0.83,0.85,0.9,0.92,0.95,1.01,1.06,0.8,0.24,0.49,0.47,0.35,0.26,0.25,0.24,0.24,0.24,-,-,-
EBIT,2.1,8.25,3.54,1.46,22.91,17.53,9.02,36.36,5.31,6.8,6.77,7.87,1.1,0.51,1.63,1.82,1.59,-,1.6,-,-
EBIT Margin,6.77%,23.05%,10.80%,5.45%,50.61%,41.04%,26.22%,54.54%,14.92%,23.70%,26.61%,33.48%,8.94%,5.07%,16.56%,18.21%,18.81%,-,21.88%,-,-
