Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31
Revenue,27.05,29.7,27.96,29.47,31.01,34.78,34.62,33.98,31.55,33.9,32.34,26.87,14.98,22.3,24.07,24.04,20.85,22.59,14.28,14.18,13.26,13.29,14.41,3.55,8.66,13.07,11.68,11.59,10.39,10.41,11.47,-
Revenue Growth (YoY),-12.77%,-14.61%,-19.23%,-13.26%,-1.69%,2.60%,7.03%,26.44%,110.56%,51.99%,34.37%,11.79%,-28.15%,-1.27%,68.55%,69.50%,57.27%,70.03%,-0.90%,299.86%,53.08%,1.68%,23.39%,-69.39%,-16.64%,25.56%,1.80%,-,-,-,-,-
Gross Profit,27.05,29.7,27.96,29.47,31.01,34.78,34.62,33.98,31.55,33.9,32.34,26.87,14.98,22.3,24.07,24.04,20.85,22.59,14.28,14.18,13.26,13.29,14.41,3.55,8.66,13.07,11.68,11.59,10.39,10.41,11.47,-
"Selling, General & Admin",11.95,11.17,10.07,10.55,11.65,11.85,12.29,12.07,10.79,13.34,14.35,13.44,8.99,10.14,10.11,9.64,9.59,10.58,7.29,7.11,6.98,6.15,5.92,5.62,5.84,5.9,5.72,5.57,5.85,5.24,5.81,-
Other Operating Expenses,7.11,5.46,7.86,6.53,6.09,6.84,6.08,7.01,6.62,8.14,8.39,5.5,5.23,5.13,5.43,6.83,5.14,13.26,2.78,2.9,2.6,2.55,2.56,2.59,2.53,2.74,2.81,2.38,2.15,2.08,2.79,0
Operating Expenses,19.05,16.63,17.93,17.08,17.74,18.68,18.37,19.08,17.41,21.48,22.74,18.93,14.21,15.27,15.53,16.47,14.73,23.83,10.07,10.01,9.58,8.7,8.48,8.22,8.38,8.64,8.53,7.95,8.01,7.32,8.6,-
Operating Income,8,13.07,10.03,12.4,13.28,16.09,16.25,14.9,14.13,12.42,9.6,7.94,0.77,7.03,8.54,7.57,6.13,-1.24,4.21,4.18,3.68,4.59,5.94,-4.67,0.29,4.42,3.15,3.64,2.38,3.08,2.87,-
Pretax Income,8,13.07,10.03,12.4,13.28,16.09,16.25,14.9,14.13,12.42,9.6,7.94,0.77,7.03,8.54,7.57,6.13,-1.24,4.21,4.18,3.68,4.59,5.94,-4.67,0.29,4.42,3.15,3.64,2.38,3.08,2.87,-
Income Tax,1.55,2.74,1.99,2.43,2.6,3.62,3.15,2.82,3.1,2.74,2.12,1.76,-0.58,1.61,2.07,1.81,1.35,-0.54,0.55,0.67,0.48,4.49,1.52,-1.33,-0.05,1.5,1.04,1.16,0.8,0.99,0.83,-
Net Income,6.45,10.33,8.04,9.97,10.67,12.47,13.1,12.08,11.03,9.68,7.49,6.18,1.35,5.42,6.47,5.76,4.78,-0.71,3.66,3.51,3.2,0.09,4.42,-3.34,0.33,2.93,2.11,2.48,1.58,2.09,2.04,-
Net Income Growth,-39.60%,-17.15%,-38.64%,-17.42%,-3.24%,28.81%,75.00%,95.37%,719.47%,78.58%,15.79%,7.38%,-71.84%,-,76.86%,63.85%,49.61%,-,-17.27%,-,862.35%,-96.86%,109.53%,-,-79.04%,39.93%,3.56%,-,-,-,-,-
Shares Outstanding (Basic),22,22,22,22,22,22,22,22,22,22,22,18,18,18,18,18,18,13,12,12,12,11,11,11,11,9,9,9,9,9,9,8
Shares Outstanding (Diluted),22,22,22,22,22,22,22,22,22,22,22,18,18,18,19,19,19,14,13,13,13,13,13,13,13,13,11,11,11,10,10,-
Shares Change,-2.96%,-1.34%,-1.04%,-0.56%,0.81%,1.05%,1.17%,21.17%,19.70%,19.25%,18.50%,-1.77%,-2.06%,27.36%,41.32%,42.73%,45.12%,11.91%,2.85%,2.57%,1.50%,1.10%,18.06%,19.33%,20.92%,22.66%,3.76%,26.25%,-,-,-,-
EPS (Basic),0.30,0.47,0.37,0.45,0.48,0.56,0.59,0.55,0.50,0.45,0.34,0.34,0.07,0.29,0.36,0.33,0.27,-0.14,0.30,0.30,0.27,-,0.39,-0.30,0.03,0.27,0.24,0.29,0.18,0.25,0.24,-
EPS (Diluted),0.30,0.47,0.37,0.45,0.48,0.56,0.59,0.54,0.50,0.45,0.34,0.34,0.07,0.29,0.35,0.31,0.25,-0.12,0.28,0.27,0.25,0.01,0.35,-0.26,0.03,0.23,0.20,0.23,0.15,0.20,0.20,-
EPS Growth,-37.50%,-16.07%,-37.29%,-16.67%,-4.00%,24.44%,73.53%,58.82%,614.29%,55.17%,-2.86%,9.68%,-72.00%,-,25.00%,14.81%,0%,-,-20.00%,-,733.33%,-95.65%,75.00%,-,-80.00%,15.00%,0%,-,-,-,-,-
Free Cash Flow Per Share,1.02,1.93,1.29,-3.49,-0.81,3.85,-0.15,0.65,0.88,1.29,-2.61,3.56,-0.78,-1.80,-1.83,-0.34,-0.87,-0.24,1.25,0.19,1.31,-1.50,2.34,-2.96,0.56,2.72,0.14,-3.13,0.71,-0.45,-,-
Dividend Per Share,0.100,0.100,0.100,0.100,0.060,0.060,0.060,0.060,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.040,0.040,0.040,-,-,-,-,-,-,-,-,-,-,-,-,-
Dividend Growth,66.67%,66.67%,66.67%,66.67%,20.00%,20.00%,20.00%,20.00%,0%,0%,0%,0%,25.00%,25.00%,25.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-
Operating Margin,29.57%,44.00%,35.86%,42.07%,42.81%,46.28%,46.94%,43.85%,44.80%,36.63%,29.69%,29.55%,5.15%,31.54%,35.47%,31.49%,29.38%,-5.50%,29.48%,29.46%,27.74%,34.52%,41.19%,-131.66%,3.29%,33.85%,26.98%,31.37%,22.91%,29.62%,25.00%,-
