Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-22
"Selling, General & Admin",0.18,0.19,0.19,0.24,0.13,0.16,0.13,0,0
Operating Expenses,0.18,0.19,0.19,0.24,0.13,0.16,0.13,0,0
Operating Income,-0.18,-0.19,-0.19,-0.24,-0.13,-0.16,-0.13,-0,-0
Other Expense / Income,-0.37,-0.43,-0.26,-0.08,-0.01,-0,-0,-,-
Pretax Income,0.19,0.24,0.07,-0.16,-0.12,-0.16,-0.13,-0,-0
Income Tax,0.07,0.09,0.05,0,0,0,0,0,0
Net Income,0.11,0.15,0.03,-0.17,-0.12,-0.16,-0.13,-0,-0
Shares Outstanding (Basic),5,7,8,8,8,5,7,1,1
Shares Outstanding (Diluted),5,7,8,8,8,5,7,1,1
Shares Change,-32.19%,40.64%,2.42%,504.60%,504.60%,-,-,-,-
EPS (Basic),-0.10,-0.10,-0.02,-0.02,-0.02,0.50,-1.27,-,-
EPS (Diluted),-0.10,-0.10,-0.02,-0.02,-0.02,0.50,-1.27,-,-
Free Cash Flow Per Share,-0.03,-0.01,-0.02,-0.02,-0.02,-0.01,-0.03,-,-
Effective Tax Rate,39.26%,37.15%,64.66%,-,-,-,-,-,-
EBITDA,0.19,0.24,0.07,-0.16,-0.12,-0.16,-0.13,-0,-0
EBIT,0.19,0.24,0.07,-0.16,-0.12,-0.16,-0.13,-0,-0
