Metrics,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",0.17,0.17,0.21,0.14,0.17,0.19,0.11,0.01
Operating Expenses,0.17,0.17,0.21,0.14,0.17,0.19,0.11,0.01
Operating Income,-0.17,-0.17,-0.21,-0.14,-0.17,-0.19,-0.11,-0.01
Other Expense / Income,-0.56,-1.74,-2.46,0.12,-2.43,1.35,-1.56,-
Pretax Income,0.38,1.57,2.25,-0.26,2.26,-1.54,1.45,-0.01
Net Income,0.38,1.57,2.25,-0.26,2.26,-1.54,1.45,-0.01
Net Income Growth,-83.06%,-,55.74%,-,-,-,-,-
Shares Outstanding (Basic),12,12,12,12,12,12,6,2
Shares Outstanding (Diluted),12,12,12,12,12,12,6,2
Shares Change,-,-,81.74%,470.51%,-,-,-,-
EPS (Basic),0.03,0.14,0.19,-0.04,0.19,-0.13,0.23,-
EPS (Diluted),0.03,0.14,0.19,-0.04,0.19,-0.13,0.23,-
EPS Growth,-84.21%,-,-17.39%,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.02,-0.01,-0.01,-0.01,-0.01,-0.06,-
EBITDA,0.38,1.57,2.25,-0.26,2.26,-1.54,1.45,-0.01
EBIT,0.38,1.57,2.25,-0.26,2.26,-1.54,1.45,-0.01
