Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
"Selling, General & Admin",0.54,0.55,0.33,0.4,1.26,0.41,0.62,0.65,0.12,-,0.01
Operating Expenses,0.54,0.55,0.33,0.4,1.26,0.41,0.62,0.65,0.12,-,0.01
Operating Income,-0.54,-0.55,-0.33,-0.4,-1.26,-0.41,-0.62,-0.65,-0.12,-,-0.01
Interest Expense / Income,0.01,0.01,0.01,0,0.01,0.01,0,0,0,-,0
Other Expense / Income,-0.12,0.48,-0.11,1.44,3.29,-0.01,-0.13,-0.02,-0.75,-,-
Pretax Income,-0.43,-1.04,-0.23,-1.85,-4.56,-0.41,-0.49,-0.63,0.63,-,-0.01
Net Income,-0.43,-1.04,-0.23,-1.85,-4.56,-0.41,-0.49,-0.63,0.63,-,-0.01
Shares Outstanding (Basic),4,6,5,5,8,12,12,12,12,3,3
Shares Outstanding (Diluted),4,6,5,5,8,12,12,12,12,-,3
Shares Change,-48.67%,-49.80%,-56.34%,-53.60%,-30.37%,298.75%,372.16%,-,-,-,-
EPS (Basic),-0.10,-0.24,-0.04,-0.34,-0.56,-0.04,-0.04,-0.05,0.05,-,-
EPS (Diluted),-0.10,-0.24,-0.04,-0.34,-0.56,-0.04,-0.04,-0.05,0.05,-,-
Free Cash Flow Per Share,-0.06,-0.08,-0.04,-0.04,-0.07,-0.02,-0.01,-0.01,-0.02,-,-
EBITDA,-0.42,-1.03,-0.22,-1.85,-4.55,-0.4,-0.49,-0.63,0.63,-,-0.01
EBIT,-0.42,-1.03,-0.22,-1.85,-4.55,-0.4,-0.49,-0.63,0.63,-,-0.01
