Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31
Revenue,81.56,93.33,89.18,75.79,66.14,85.35,84.61,83.21,70.8,83.65,80.85,95.67,46.19,71.31,70.25,68.65,60.57,57.02,64.1,52.92,38.33,50.19,56.57,47.62,34.77,33.86,59.29,38.96,31.64,32.01
Revenue Growth (YoY),23.31%,9.35%,5.40%,-8.92%,-6.58%,2.04%,4.64%,-13.02%,53.29%,17.30%,15.10%,39.36%,-23.75%,25.06%,9.59%,29.72%,58.04%,13.62%,13.32%,11.14%,10.23%,48.20%,-4.59%,22.23%,9.89%,5.80%,-,-,-,-
Cost of Revenue,58.83,66.79,78.92,108.6,40.13,50.83,65.74,62.92,36.89,31.85,53.84,52.36,30.42,33.73,61.56,48.19,26.23,22.06,37.46,40.72,18.85,19.16,49.6,36.23,17.72,25.25,50.68,31.1,11.49,15.42
Gross Profit,22.73,26.54,10.26,-32.81,26.01,34.52,18.87,20.29,33.91,51.8,27.02,43.3,15.76,37.59,8.69,20.46,34.34,34.96,26.64,12.2,19.48,31.03,6.97,11.39,17.05,8.62,8.61,7.86,20.15,16.59
"Selling, General & Admin",28.24,25.88,23.5,26.25,23.4,26.11,25.35,23.59,21.24,23.14,22.14,19.63,20.16,16.33,17.29,16.94,16.69,15.7,14.74,11.8,11.88,12.89,10.09,11.43,10.02,6.97,11.17,10.53,10.45,6.93
Operating Expenses,28.24,25.88,23.5,26.25,23.4,26.11,25.35,23.59,21.24,23.14,22.14,19.63,20.16,16.33,17.29,16.94,16.69,15.7,14.74,11.8,11.88,12.89,10.09,11.43,10.02,6.97,11.17,10.53,10.45,6.93
Operating Income,-5.51,0.66,-13.24,-59.05,2.61,8.41,-6.48,-3.3,12.67,28.66,4.87,23.68,-4.4,21.25,-8.6,3.52,17.64,19.26,11.91,0.4,7.6,18.14,-3.13,-0.04,7.03,1.64,-2.56,-2.67,9.7,9.66
Other Expense / Income,-0.29,0.1,-0.18,-0.73,0.13,0.02,-0.12,-0.09,0.11,0.87,0.02,0.03,0.03,0.02,0.02,0.04,0.02,0.07,0.03,0.03,0.03,-0.47,0.04,-0.01,0.06,0.14,-0,-0.06,0.01,0.07
Pretax Income,-5.22,0.56,-13.06,-58.33,2.48,8.4,-6.36,-3.21,12.56,27.79,4.85,23.64,-4.43,21.23,-8.62,3.48,17.62,19.19,11.87,0.37,7.57,18.61,-3.17,-0.03,6.97,1.5,-2.56,-2.61,9.7,9.59
Income Tax,-1.01,-0.33,-3.07,-12.42,0.57,2.27,-1.62,-0.56,2.89,6.21,1.19,4.91,-0.84,4.11,-1.64,1,3.85,4.3,2.03,0.14,1.45,4.7,-0.43,-0.16,2.28,0.41,-1.56,-0.85,3.48,2.62
Net Income,-4.21,0.89,-9.99,-45.91,1.91,6.13,-4.74,-2.64,9.67,21.58,3.66,18.73,-3.59,17.13,-6.98,2.48,13.77,14.89,9.84,0.23,6.12,13.91,-2.73,0.13,4.69,1.1,-1,-1.76,6.21,6.98
Net Income Growth,-,-85.48%,-,-,-80.26%,-71.60%,-,-,-,25.98%,-,655.97%,-,15.04%,-,996.46%,124.98%,7.07%,-,75.19%,30.56%,1168.80%,-,-,-24.54%,-84.29%,-,-,-,-
Shares Outstanding (Basic),21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,-,-,-
Shares Outstanding (Diluted),21,21,21,21,22,22,21,21,22,22,22,22,22,-,-,-,-,-,-,-,-,-,22,23,-,-,-,-,-,-
Shares Change,-1.12%,-1.68%,-0.39%,-0.40%,-0.40%,-0.17%,-1.58%,-2.54%,-2.34%,-2.37%,-1.54%,-0.83%,0.04%,-0.80%,-1.18%,-0.64%,-0.64%,0.20%,0.21%,-1.37%,-2.81%,-2.99%,-2.99%,-,-,-,-,-,-,-
EPS (Basic),-0.20,0.04,-0.47,-2.15,0.09,0.28,-0.22,-0.12,0.45,1.00,0.17,0.86,-0.16,0.77,-0.32,0.11,0.62,0.67,0.44,0.01,0.27,0.62,-0.12,0.01,0.21,-,-,-,-,-
EPS (Diluted),-0.20,0.04,-0.47,-2.15,0.09,0.28,-0.22,-0.12,0.45,0.99,0.17,0.85,-0.16,0.77,-0.31,0.11,0.62,0.67,0.44,0.01,0.27,0.62,-0.12,0.01,0.21,-,-,-,-,-
EPS Growth,-,-85.71%,-,-,-80.00%,-71.72%,-,-,-,28.57%,-,672.73%,-,14.93%,-,1000.00%,129.63%,8.06%,-,0%,28.57%,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.21,-0.27,-1.81,0.48,0.18,0.92,-0.58,0.49,0.50,0.93,0.42,0.82,0.15,1.21,-0.58,0.29,0.17,1.10,-0.88,0.45,0.19,1.15,-0.83,0.18,0.26,1.15,-1.20,-,-,-
Gross Margin,27.87%,28.44%,11.50%,-43.28%,39.33%,40.45%,22.30%,24.39%,47.90%,61.92%,33.42%,45.26%,34.13%,52.71%,12.37%,29.80%,56.69%,61.31%,41.57%,23.05%,50.82%,61.82%,12.32%,23.91%,49.04%,25.44%,14.52%,20.18%,63.69%,51.84%
Operating Margin,-6.76%,0.71%,-14.85%,-77.91%,3.94%,9.85%,-7.66%,-3.96%,17.90%,34.26%,6.03%,24.75%,-9.52%,29.80%,-12.24%,5.12%,29.13%,33.78%,18.57%,0.75%,19.83%,36.14%,-5.52%,-0.08%,20.22%,4.85%,-4.32%,-6.84%,30.66%,30.18%
Profit Margin,-5.16%,0.95%,-11.20%,-60.58%,2.89%,7.18%,-5.60%,-3.18%,13.66%,25.80%,4.53%,19.58%,-7.77%,24.02%,-9.93%,3.61%,22.74%,26.11%,15.36%,0.43%,15.97%,27.71%,-4.83%,0.27%,13.49%,3.24%,-1.68%,-4.52%,19.64%,21.80%
Free Cash Flow Margin,-5.63%,-6.23%,-43.27%,13.51%,5.90%,22.89%,-14.61%,12.76%,15.08%,23.92%,11.25%,18.87%,7.16%,37.70%,-18.19%,9.40%,6.31%,43.28%,-30.57%,19.12%,10.95%,51.24%,-32.76%,8.43%,16.95%,78.18%,-46.52%,5.89%,17.60%,68.72%
Effective Tax Rate,-,-59.78%,-,-,22.93%,27.00%,-,-,23.01%,22.36%,24.48%,20.77%,-,19.33%,-,28.75%,21.84%,22.42%,17.09%,38.42%,19.14%,25.26%,-,-,32.74%,26.98%,-,-,35.92%,27.27%
EBITDA,-4.92,0.87,-12.77,-58.03,2.76,8.7,-6.08,-2.92,12.85,28.4,6.1,25.65,-2.36,21.41,-8.38,4.03,18.9,21.72,13.1,0.47,7.71,18.74,-3.03,0.41,6.8,1.58,-2.39,-2.5,9.84,9.98
EBITDA Margin,-6.04%,0.93%,-14.32%,-76.57%,4.18%,10.20%,-7.18%,-3.50%,18.15%,33.95%,7.55%,26.81%,-5.11%,30.03%,-11.93%,5.87%,31.20%,38.10%,20.43%,0.89%,20.12%,37.34%,-5.35%,0.87%,19.56%,4.67%,-4.04%,-6.42%,31.10%,31.19%
Depreciation & Amortization,0.3,0.31,0.29,0.29,0.29,0.31,0.28,0.29,0.29,0.61,1.25,2.01,2.07,0.18,0.24,0.56,1.28,2.53,1.22,0.1,0.14,0.13,0.14,0.44,-0.17,0.08,0.17,0.11,0.14,0.39
