Metrics,2023-03-25,2022-12-24,2022-09-24,2022-06-25,2022-03-26,2021-12-25,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-26
Revenue,266.85,206.31,244.41,175.55,96.28,77.06,91.71,131.49,23.18,5.54,-
Revenue Growth (YoY),177.15%,167.72%,166.51%,33.51%,315.43%,1290.54%,-,-,-,-,-
Cost of Revenue,224.01,171.12,207.68,144.01,79.38,62.6,83.86,131.82,19.68,6.11,-
Gross Profit,42.85,35.19,36.73,31.54,16.91,14.47,7.85,-0.34,3.5,-0.57,-
"Selling, General & Admin",50.9,54.02,47.58,29.44,23.51,15.36,18.44,16.51,13.33,11.17,-
Research & Development,49.67,50.74,43.46,35.14,23.36,22.18,20.91,20.93,17.09,14.45,-
Operating Expenses,100.56,104.76,91.04,64.58,46.87,37.54,39.34,37.44,30.42,25.62,-
Operating Income,-57.72,-69.57,-54.31,-33.03,-29.96,-23.08,-31.49,-37.78,-26.93,-26.19,-
Other Expense / Income,-51.58,-62.63,-48.76,-31.72,-29.96,-23.08,-31.49,-37.78,-0.07,0.02,-
Pretax Income,-6.14,-6.94,-5.55,-1.31,0,0,0,0,-26.86,-26.2,-
Income Tax,-0.02,0.25,0,0,0,0,0,0,0,0,-
Net Income,-6.12,-7.19,-5.55,-1.31,0,0,0,0,-26.86,-26.2,-
Preferred Dividends,0,0,0,0,0,0,0,0,8.23,8.23,-
Net Income Common,-6.12,-7.19,-5.55,-1.31,0,0,0,0,-35.09,-34.43,-
Shares Outstanding (Basic),61,58,64,51,7,6,6,41,6,6,6
Shares Outstanding (Diluted),61,58,64,51,7,6,6,41,6,6,-
Shares Change,780.31%,796.63%,901.42%,23.45%,6.95%,1.07%,-,-,-,-,-
EPS (Basic),-0.10,-0.12,-0.10,-0.03,-5.61,-4.88,-24.06,-,-5.46,-5.36,-
EPS (Diluted),-0.10,-0.12,-0.10,-0.03,-5.61,-4.88,-24.06,-,-5.46,-5.36,-
Free Cash Flow Per Share,0.42,1.61,-0.91,-0.71,-15.13,5.00,1.04,0.55,10.99,-,-
Gross Margin,16.06%,17.06%,15.03%,17.97%,17.56%,18.77%,8.56%,-0.26%,15.08%,-10.19%,-
Operating Margin,-21.63%,-33.72%,-22.22%,-18.82%,-31.12%,-29.94%,-34.34%,-28.73%,-116.17%,-472.50%,-
Profit Margin,-2.29%,-3.49%,-2.27%,-0.75%,-,-,-,-,-151.38%,-621.29%,-
Free Cash Flow Margin,9.48%,45.59%,-24.02%,-20.53%,-107.97%,42.17%,7.31%,17.21%,304.69%,-,-
EBITDA,-4.07,-4.87,-3.76,0.11,1.42,1.36,1.28,1.38,-25.03,-26.2,-
EBITDA Margin,-1.52%,-2.36%,-1.54%,0.06%,1.47%,1.76%,1.40%,1.05%,-107.99%,-472.81%,-
Depreciation & Amortization,2.07,2.08,1.79,1.43,1.42,1.36,1.28,1.38,1.83,0,-
EBIT,-6.14,-6.94,-5.55,-1.31,0,0,0,0,-26.86,-26.2,-
EBIT Margin,-2.30%,-3.36%,-2.27%,-0.75%,-,-,-,-,-115.87%,-472.81%,-
