Metrics,2023-03-31,2022-12-31,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31
Revenue,11.07,-,-,2.08,11.47,0,6.2,0,14.05,0,0,0,0,0,0,0,0
Revenue Growth (YoY),-3.44%,-,-,-,-18.36%,-,-,-,-,-,-,-,-,-,-,-,-
Cost of Revenue,7.3,-,-,0.7,3.87,0,2,0,4.67,0,0,0,0,0,0,0,0
Gross Profit,3.78,-,-,1.38,7.6,0,4.2,0,9.37,0,0,0,0,0,0,0,0
"Selling, General & Admin",17.32,-,-,3.15,14.71,0.18,5.22,0.13,10.08,0.09,0.08,0.13,0.08,0.14,0.12,0.01,0
Other Operating Expenses,0.88,0,0,0.13,0.41,0,0,0,0,0,0,0,0,0,0,0,0
Operating Expenses,18.2,-,-,3.29,15.13,0.18,5.22,0.13,10.08,0.09,0.08,0.13,0.08,0.14,0.12,0.01,0
Operating Income,-14.42,-,-,-1.91,-7.52,-0.18,-1.02,-0.13,-0.7,-0.09,-0.08,-0.13,-0.08,-0.14,-0.12,-0.01,-0
Interest Expense / Income,0.17,-,-,0,0.48,0,0.48,0,0.87,0,0,0,0,0,0,0,0
Other Expense / Income,-2.48,-,-,-1.88,-128.49,0.03,3.84,0.01,14.05,-0.03,-0.1,-0.04,-0.54,-0,-0,-0,-
Pretax Income,-12.1,-,-,-0.03,120.48,-0.21,-5.35,-0.14,-15.62,-0.06,0.02,-0.09,0.46,-0.14,-0.12,-0.01,-0
Income Tax,-0.03,-,-,0.42,23.51,0,0.33,0,0.68,0,0,0,0,0,0,0,0
Net Income,-12.07,-,-,-0.45,96.98,-0.21,-5.68,-0.14,-16.3,-0.06,0.02,-0.09,0.46,-0.14,-0.12,-0.01,-0
Shares Outstanding (Basic),61,56,5,56,56,5,2,2,6,6,2,2,4,2,1,0,0
Shares Outstanding (Diluted),61,-,-,56,56,5,2,2,6,6,2,2,4,2,1,0,0
Shares Change,9.32%,950.65%,129.45%,2505.92%,828.87%,-10.66%,10.10%,7.48%,50.68%,212.12%,37.33%,307.62%,396438.00%,-,-,-,-
EPS (Basic),-0.20,-,-,-0.01,1.89,-0.04,-0.08,-0.07,-0.04,-0.01,0.01,-0.05,-0.61,-0.07,-0.08,-0.02,-2.52
EPS (Diluted),-0.20,-,-,-0.01,1.89,-0.04,-0.08,-0.07,-0.04,-0.01,0.01,-0.05,-0.61,-0.07,-0.08,-0.02,-2.52
Free Cash Flow Per Share,-0.17,-,-,0.01,-0.03,-0.04,-4.46,-0.06,3.73,-0.01,-0.08,-0.06,-0.01,-0.07,-0.10,-0.03,-2.52
Gross Margin,34.12%,-,-,66.24%,66.29%,-,67.73%,-,66.74%,-,-,-,-,-,-,-,-
Operating Margin,-130.21%,-,-,-92.10%,-65.60%,-,-16.49%,-,-4.99%,-,-,-,-,-,-,-,-
Profit Margin,-109.02%,-,-,-21.55%,845.61%,-,-91.56%,-,-116.05%,-,-,-,-,-,-,-,-
Free Cash Flow Margin,-92.08%,-,-,22.45%,-15.04%,-,-157.24%,-,158.74%,-,-,-,-,-,-,-,-
Effective Tax Rate,-,-,-,-,19.51%,-,-,-,-,-,-,-,-,-,-,-,-
EBITDA,-11.83,-,-,0.07,121.01,-0.21,-4.84,-0.14,-14.69,-0.06,0.02,-0.09,0.46,-0.14,-0.12,-0.01,-0
EBITDA Margin,-106.86%,-,-,3.31%,1055.18%,-,-78.04%,-,-104.54%,-,-,-,-,-,-,-,-
Depreciation & Amortization,0.1,-,-,0.1,0.05,0,0.02,0,0.07,0,0,0,0,0,0,0,0
EBIT,-11.93,-,-,-0.03,120.97,-0.21,-4.86,-0.14,-14.75,-0.06,0.02,-0.09,0.46,-0.14,-0.12,-0.01,-0
EBIT Margin,-107.77%,-,-,-1.34%,1054.78%,-,-78.41%,-,-105.01%,-,-,-,-,-,-,-,-
