Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.34,0.14,0.1,0.01,0,0,0
Other Operating Expenses,-0.01,0.03,0.03,0,0,0,0
Operating Expenses,0.33,0.17,0.13,0.01,0,0,0
Operating Income,-0.33,-0.17,-0.13,-0.01,-0,-0,-0
Other Expense / Income,-0.57,-0.3,-0.06,-,-,-,-
Pretax Income,0.24,0.13,-0.07,-0.01,-0,-0,-0
Income Tax,0.09,0.06,0,0,0,0,0
Net Income,0.15,0.07,-0.07,-0.01,-0,-0,-0
Shares Outstanding (Basic),6,8,5,2,1,1,1
Shares Outstanding (Diluted),6,8,5,2,1,1,1
Shares Change,417.58%,635.77%,306.54%,-,-,-,-
EPS (Basic),0.24,-1.27,-2.12,-0.01,-,-,-
EPS (Diluted),0.24,-1.27,-2.12,-0.01,-,-,-
Free Cash Flow Per Share,-0.04,-0.02,-0.04,-0.00,-0.00,-,-
Effective Tax Rate,36.45%,48.43%,-,-,-,-,-
EBITDA,0.24,0.13,-0.07,-0.01,-0,-0,-0
EBIT,0.24,0.13,-0.07,-0.01,-0,-0,-0
