Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Revenue,5.81,9.39,9.2,8.15,7.91,7.56,3.26,3.47,3.34,3.48,3.3,2.94
Revenue Growth (YoY),-26.56%,24.25%,181.91%,135.19%,137.05%,117.37%,-1.18%,18.01%,-,-,-,-
Gross Profit,5.81,9.39,9.2,8.15,7.91,7.56,3.26,3.47,3.34,3.48,3.3,2.94
"Selling, General & Admin",4.83,5.23,4.83,4.16,4.13,4.01,1.38,1.26,1.27,1.23,1.28,1.88
Other Operating Expenses,2.91,3.22,2.22,2.09,1.97,2.79,5.22,0.84,0.77,1.16,0.81,0.62
Operating Expenses,7.74,8.45,7.05,6.24,6.1,6.79,6.6,2.09,2.04,2.39,2.09,2.5
Operating Income,-1.93,0.95,2.15,1.91,1.81,0.77,-3.34,1.38,1.3,1.09,1.22,0.44
Pretax Income,-1.93,0.95,2.15,1.91,1.81,0.77,-3.34,1.38,1.3,1.09,1.22,0.44
Income Tax,-0.38,0.25,0.38,0.31,0.29,-0.02,-0.54,0.2,0.17,0.13,0.16,0
Net Income,-1.55,0.7,1.77,1.61,1.52,0.79,-2.8,1.17,1.13,0.95,1.05,0.44
Net Income Growth,-,-11.68%,-,36.91%,35.47%,-17.40%,-,167.20%,-,-,-,-
Shares Outstanding (Basic),15,11,11,10,10,7,6,6,6,6,6,5
Shares Outstanding (Diluted),15,11,11,10,10,7,6,6,6,6,6,5
Shares Change,53.98%,56.00%,68.79%,74.17%,76.64%,27.39%,10.24%,23.16%,-,-,-,-
EPS (Basic),-0.10,-,0.17,0.16,0.16,0.12,-0.45,0.21,0.20,0.17,0.18,0.10
EPS (Diluted),-0.10,0.01,0.17,0.16,0.15,0.12,-0.45,0.21,0.20,0.17,0.18,0.09
EPS Growth,-,-91.67%,-,-23.81%,-25.00%,-29.41%,-,133.33%,-,-,-,-
Free Cash Flow Per Share,-0.04,-0.23,0.24,0.06,-0.29,-0.10,0.16,0.33,0.43,0.05,0.62,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,-33.21%,10.09%,23.39%,23.45%,22.89%,10.13%,-102.36%,39.66%,38.91%,31.22%,36.81%,14.94%
Profit Margin,-26.74%,7.41%,19.27%,19.70%,19.27%,10.42%,-85.74%,33.83%,33.72%,27.43%,31.87%,14.94%
Free Cash Flow Margin,-10.23%,-27.65%,27.76%,7.47%,-35.61%,-8.74%,30.23%,54.34%,73.02%,8.31%,107.30%,-
Effective Tax Rate,-,26.58%,17.62%,16.00%,15.80%,-2.87%,-,14.69%,13.33%,12.15%,13.42%,-
EBITDA,-1.64,1.25,2.44,2.17,2.07,0.55,-2.78,1.44,1.37,1.16,1.3,-
EBITDA Margin,-28.24%,13.33%,26.52%,26.60%,26.16%,7.28%,-85.19%,41.56%,41.01%,33.47%,39.47%,-
Depreciation & Amortization,0.29,0.3,0.29,0.26,0.26,-0.22,0.56,0.07,0.07,0.08,0.09,-
EBIT,-1.93,0.95,2.15,1.91,1.81,0.77,-3.34,1.38,1.3,1.09,1.22,0.44
EBIT Margin,-33.21%,10.09%,23.39%,23.45%,22.89%,10.13%,-102.36%,39.66%,38.91%,31.22%,36.81%,14.94%
