Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30
Revenue,146.98,148.49,140.35,133.17,127.29,126.23,124.97,125.21,123.28,125.35,122.35,117.09,129.4,135.88,133.09,130.51,133.15,134.56,133.01,128.28,121.95,121.1,114.91,111.63,107.03,107.27,101.58,96.76,96.96,85.56,96.36
Revenue Growth (YoY),15.47%,17.63%,12.31%,6.36%,3.26%,0.71%,2.14%,6.93%,-4.74%,-7.75%,-8.07%,-10.28%,-2.81%,0.98%,0.05%,1.74%,9.18%,11.12%,15.76%,14.92%,13.94%,12.90%,13.12%,15.37%,10.39%,25.37%,5.42%,-,-,-,-
Gross Profit,146.98,148.49,140.35,133.17,127.29,126.23,124.97,125.21,123.28,125.35,122.35,117.09,129.4,135.88,133.09,130.51,133.15,134.56,133.01,128.28,121.95,121.1,114.91,111.63,107.03,107.27,101.58,96.76,96.96,85.56,96.36
"Selling, General & Admin",62.8,64.22,61.6,62.38,60.73,62.66,63.97,63.8,60.7,63.73,70.48,62.69,67.62,73.49,71.65,73.82,63.35,65.45,64.56,61.18,61.02,63.34,56.78,57.52,54.42,56.02,61.67,52.66,50.71,67.35,53.41
Other Operating Expenses,21.31,20.44,20.4,20.6,21.24,21.14,20.45,20.96,20.23,19.49,20.78,19.31,20.5,20.41,18.77,17.88,17.57,18.05,17.66,17.05,16.38,17.05,16.85,17.8,16.59,15.87,15.66,14.09,19.23,19.83,14.01
Operating Expenses,84.11,84.66,81.99,82.98,81.96,83.8,84.41,84.76,80.92,83.22,91.26,82,88.11,93.9,90.41,91.7,80.92,83.49,82.22,78.23,77.4,80.39,73.63,75.32,71,71.9,77.32,66.75,69.93,87.18,67.41
Operating Income,62.87,63.83,58.36,50.18,45.33,42.43,40.56,40.45,42.35,42.13,31.09,35.09,41.29,41.98,42.68,38.81,52.23,51.07,50.8,50.05,44.55,40.72,41.28,36.31,36.03,35.37,24.26,30.01,27.03,-1.61,28.95
Pretax Income,62.87,63.83,58.36,50.18,45.33,42.43,40.56,40.45,42.35,42.13,31.09,35.09,41.29,41.98,42.68,38.81,52.23,51.07,50.8,50.05,44.55,40.72,41.28,36.31,36.03,35.37,24.26,30.01,27.03,-1.61,28.95
Income Tax,0.67,0.72,0.93,1.06,0.98,0.78,0.77,0.83,0.74,0.07,0.54,0.76,1.01,-1.91,0.24,0.17,0.13,0.17,0.43,0.34,0.35,0.46,0.19,0.26,0.18,0.01,0.21,0.24,0.26,0.7,0.16
Net Income,62.2,63.11,57.43,49.13,44.35,41.66,39.78,39.62,41.62,42.06,30.54,34.33,40.28,43.89,42.44,38.64,52.11,50.91,50.37,49.71,44.2,40.25,41.09,36.05,35.86,35.36,24.05,29.77,26.76,-2.31,28.79
Preferred Dividends,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.27,4.12,4.06,4.12,4.16,4.11
Net Income Common,62.2,63.11,57.43,49.13,44.35,41.66,39.78,39.62,41.62,42.06,30.54,34.33,40.28,43.89,42.44,38.64,52.11,50.91,50.37,49.71,44.2,40.25,41.09,36.05,35.86,-9.91,19.93,25.71,22.64,-6.47,24.67
