Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.14,0.31,0.24,0.15,0.05,0.03,0.03,0.02
Operating Expenses,0.14,0.31,0.24,0.15,0.05,0.03,0.03,0.02
Operating Income,-0.14,-0.31,-0.24,-0.15,-0.05,-0.03,-0.03,-0.02
Other Expense / Income,-0.72,-0.59,-0.32,-0.09,-0.01,-,-,-
Pretax Income,0.58,0.28,0.07,-0.06,-0.05,-0.03,-0.03,-0.02
Net Income,0.58,0.28,0.07,-0.06,-0.05,-0.03,-0.03,-0.02
Shares Outstanding (Basic),8,9,9,9,3,2,1,1
Shares Outstanding (Diluted),8,9,9,9,3,2,1,1
Shares Change,144.08%,499.12%,631.32%,631.32%,-,-,-,-
EPS (Basic),-0.05,0.06,-0.03,-0.02,-3.59,-0.02,-0.02,-0.01
EPS (Diluted),-0.05,0.06,-0.03,-0.02,-3.59,-0.02,-0.02,-0.01
Free Cash Flow Per Share,-0.02,-0.01,-0.02,-0.02,-0.01,-0.02,-0.04,-0.00
EBITDA,0.58,0.28,0.07,-0.06,-0.05,-0.03,-0.03,-0.02
EBIT,0.58,0.28,0.07,-0.06,-0.05,-0.03,-0.03,-0.02
