Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-30
"Selling, General & Admin",2.71,1.06,0.36,0.53,0.6,1.09,0.08,0.01
Operating Expenses,2.71,1.06,0.36,0.53,0.6,1.09,0.08,0.01
Operating Income,-2.71,-1.06,-0.36,-0.53,-0.6,-1.09,-0.08,-0.01
Other Expense / Income,-0.27,-1.76,-4.52,-1.99,-4.9,-0.27,-,-
Pretax Income,-2.44,0.7,4.16,1.46,4.29,-0.82,-0.08,-0.01
Income Tax,0.14,0.2,0,0,0,0,0,0
Net Income,-2.59,0.49,4.16,1.46,4.29,-0.82,-0.08,-0.01
Shares Outstanding (Basic),23,26,29,29,15,10,5,5
Shares Outstanding (Diluted),23,26,29,29,15,10,5,5
Shares Change,60.00%,171.73%,475.00%,475.00%,-,-,-,-
EPS (Basic),-0.40,-0.10,0.14,0.05,1.62,-1.14,-0.02,-
EPS (Diluted),-0.40,-0.10,0.14,0.05,1.62,-1.14,-0.02,-
Free Cash Flow Per Share,0.05,-0.01,-0.01,-0.02,0.04,-0.15,-0.02,-
Effective Tax Rate,-,29.21%,-,-,-,-,-,-
EBITDA,-2.44,0.7,4.16,1.46,4.29,-0.82,-0.08,-0.01
EBIT,-2.44,0.7,4.16,1.46,4.29,-0.82,-0.08,-0.01
