Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
"Selling, General & Admin",0.35,0.42,0.42,0.41,0.1,0.01
Operating Expenses,0.35,0.42,0.42,0.41,0.1,0.01
Operating Income,-0.35,-0.42,-0.42,-0.41,-0.1,-0.01
Other Expense / Income,-2.84,-0.83,-0.22,-0.04,0.01,-
Pretax Income,2.48,0.4,-0.2,-0.37,-0.1,-0.01
Net Income,2.48,0.4,-0.2,-0.37,-0.1,-0.01
Shares Outstanding (Basic),32,32,32,32,9,6
Shares Outstanding (Diluted),32,32,32,32,9,6
Shares Change,263.54%,412.65%,-,-,-,-
EPS (Basic),0.08,0.01,-0.01,-0.01,-0.01,-
EPS (Diluted),0.08,0.01,-0.01,-0.01,-0.01,-
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-0.08,-
EBITDA,2.48,0.4,-0.2,-0.37,-0.1,-0.01
EBIT,2.48,0.4,-0.2,-0.37,-0.1,-0.01
