Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31
Revenue,20.77,21.48,18.36,15.86,13.52,14.44,13.19,13.2,13.34,13.85,13.13,12.38,12.17,16.55,16.66,0.44,15.86,14.71,14.93,14.61,13.69
Revenue Growth (YoY),53.61%,48.76%,39.24%,20.10%,1.38%,4.24%,0.43%,6.61%,9.59%,-16.28%,-21.19%,2746.90%,-23.29%,12.46%,11.60%,-97.02%,15.87%,-,-,-,-
Gross Profit,20.77,21.48,18.36,15.86,13.52,14.44,13.19,13.2,13.34,13.85,13.13,12.38,12.17,16.55,16.66,0.44,15.86,14.71,14.93,14.61,13.69
"Selling, General & Admin",10.3,10.43,9.48,10.1,9.39,9.17,9.05,9.45,9.52,9.08,9.07,8.75,8.76,9.15,8.38,8.3,8.28,7.88,7.94,7.79,7.8
Other Operating Expenses,2.8,3.08,2.39,2.71,3.67,-2.79,2.36,6.87,2.18,2.32,2.37,1.96,2.35,2.56,9.86,1.44,1.37,1.37,1.32,1.39,1.42
Operating Expenses,13.1,13.51,11.87,12.81,13.06,6.38,11.41,16.33,11.7,11.4,11.43,10.71,11.11,11.71,18.23,9.74,9.65,9.25,9.26,9.18,9.22
Operating Income,7.67,7.98,6.49,3.05,0.46,8.06,1.77,-3.12,1.64,2.45,1.7,1.68,1.06,4.84,-1.57,-9.3,6.22,5.47,5.67,5.44,4.47
Pretax Income,7.67,7.98,6.49,3.05,0.46,8.06,1.77,-3.12,1.64,2.45,1.7,1.68,1.06,4.84,-1.57,-9.3,6.22,5.47,5.67,5.44,4.47
Income Tax,1.64,1.79,1.26,0.69,0.15,1.8,0.41,0.43,0.3,0.55,0.3,0.2,0.21,0.99,-0.6,-2.59,1.44,0.67,1.22,1.3,1.05
Net Income,6.02,6.18,5.23,2.36,0.3,6.26,1.36,-3.55,1.34,1.9,1.39,1.48,0.85,3.85,-0.98,-6.71,4.78,4.8,4.44,4.14,3.42
Net Income Growth,1894.70%,-1.18%,285.70%,-,-77.48%,230.18%,-2.65%,-,57.95%,-50.78%,-,-,-82.23%,-19.79%,-,-,39.90%,-,-,-,-
Shares Outstanding (Basic),25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,-,-,-
Shares Outstanding (Diluted),25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,-,-,-,-,-,-
Shares Change,0.20%,0.20%,0.20%,0.41%,0.20%,0.20%,0.20%,0.20%,0.20%,0.23%,0.23%,-3.63%,-3.70%,-3.77%,-,-,-,-,-,-,-
EPS (Basic),0.24,0.25,0.21,0.10,0.01,0.25,0.05,-0.14,0.05,0.08,0.06,0.06,0.03,0.15,-0.04,-,-,-,-,-,-
EPS (Diluted),0.24,0.25,0.21,0.10,0.01,0.25,0.05,-0.14,0.05,0.08,0.06,0.06,0.03,0.15,-0.04,-,-,-,-,-,-
EPS Growth,2300.00%,0%,320.00%,-,-80.00%,212.50%,-16.67%,-,66.67%,-46.67%,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,0.09,0.09,0.31,0.84,0.94,-0.01,0.23,0.21,0.85,0.31,-0.08,0.37,-0.75,0.46,-0.06,-0.09,-0.01,0.01,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,36.93%,37.13%,35.36%,19.24%,3.37%,55.82%,13.43%,-23.66%,12.28%,17.68%,12.93%,13.53%,8.71%,29.22%,-9.45%,-2138.39%,39.19%,37.14%,37.96%,37.20%,32.62%
Profit Margin,29.01%,28.78%,28.51%,14.90%,2.23%,43.33%,10.29%,-26.91%,10.06%,13.68%,10.62%,11.92%,6.98%,23.27%,-5.87%,-1543.22%,30.13%,32.62%,29.77%,28.32%,24.95%
Free Cash Flow Margin,10.77%,10.88%,42.95%,134.17%,174.31%,-1.34%,43.47%,39.49%,159.58%,55.42%,-14.85%,74.72%,-154.58%,68.82%,-8.23%,-517.70%,-1.20%,2.13%,44.16%,16.67%,33.88%
Effective Tax Rate,21.44%,22.47%,19.37%,22.52%,33.77%,22.38%,23.38%,-,18.08%,22.62%,17.86%,11.88%,19.91%,20.37%,-,-,23.12%,12.17%,21.58%,23.86%,23.51%
EBITDA,8.33,8.67,7.18,3.75,1.14,8.74,2.45,-2.4,2.34,3.17,2.41,2.41,1.78,5.58,-0.87,-8.59,6.93,6.2,6.32,6.12,5.11
EBITDA Margin,40.11%,40.34%,39.13%,23.63%,8.46%,60.54%,18.57%,-18.20%,17.55%,22.88%,18.36%,19.45%,14.63%,33.73%,-5.21%,-1974.48%,43.68%,42.11%,42.37%,41.88%,37.32%
Depreciation & Amortization,0.66,0.69,0.69,0.7,0.69,0.68,0.68,0.72,0.7,0.72,0.71,0.73,0.72,0.75,0.71,0.71,0.71,0.73,0.66,0.68,0.64
EBIT,7.67,7.98,6.49,3.05,0.46,8.06,1.77,-3.12,1.64,2.45,1.7,1.68,1.06,4.84,-1.57,-9.3,6.22,5.47,5.67,5.44,4.47
EBIT Margin,36.93%,37.13%,35.36%,19.24%,3.37%,55.82%,13.43%,-23.66%,12.28%,17.68%,12.93%,13.53%,8.71%,29.22%,-9.45%,-2138.39%,39.19%,37.14%,37.96%,37.20%,32.62%
