Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Revenue,-12.42,95.55,117.18,203.97,178.93,255.64,177.04,151.83,79.73,150.93,70.64,38.85,76.22
Revenue Growth (YoY),-,-62.62%,-33.81%,34.34%,124.42%,69.38%,150.63%,290.78%,4.60%,-,-,-,-
Cost of Revenue,40.56,52.82,62.28,58.28,59.03,66.77,37.73,54.23,29.94,46.74,24.36,20.94,27.94
Gross Profit,-52.98,42.73,54.9,145.68,119.9,188.86,139.31,97.6,49.79,104.18,46.27,17.92,48.28
"Selling, General & Admin",13.89,11.11,10.69,9.77,9.51,8.62,6.7,5.39,4.1,4.04,4.45,4.07,4.69
Other Operating Expenses,7.2,6.75,6.83,7.64,7.4,7.75,12.28,6.84,9.38,7.94,6.71,7.76,9.23
Operating Expenses,21.1,17.86,17.51,17.41,16.91,16.37,18.98,12.24,13.48,11.98,11.15,11.83,13.92
Operating Income,-74.07,24.88,37.39,128.28,103,172.49,120.32,85.36,36.31,92.2,35.12,6.09,34.36
Interest Expense / Income,4.15,3.57,4.25,2.9,1.62,1.96,2.41,2.55,1.59,2.43,1.7,0.44,0.48
Other Expense / Income,-4.94,-4.25,-0.92,44.91,-1.68,85.18,57.33,4.96,-2.46,5.77,5.85,2.16,1.01
Pretax Income,-73.28,25.56,34.06,80.47,103.05,85.35,60.59,77.85,37.18,84,27.57,3.49,32.87
Income Tax,-5.84,7.61,3.2,5.84,5.55,4.82,2.61,0.42,0.41,0.43,0.4,0.17,0.01
Net Income,-67.43,17.95,30.86,74.63,97.51,80.53,57.98,77.43,36.77,83.58,27.17,3.32,32.86
Net Income Growth,-,-77.72%,-46.78%,-3.61%,165.17%,-3.65%,113.41%,2232.81%,11.91%,-,-,-,-
Shares Outstanding (Basic),25,24,24,24,23,23,22,110,110,110,-,-,-
Shares Outstanding (Diluted),124,24,24,24,23,23,22,-,-,-,-,-,-
Shares Change,435.40%,5.03%,8.40%,-78.10%,-78.91%,-78.84%,-,-,-,-,-,-,-
EPS (Basic),0.03,-0.04,0.17,0.44,0.35,0.52,0.41,-,-,-,-,-,-
EPS (Diluted),-0.13,-0.04,0.17,0.44,0.35,0.52,0.41,-,-,-,-,-,-
EPS Growth,-,-,-58.54%,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,0.49,1.78,1.67,3.80,2.17,2.42,2.42,0.66,0.24,0.46,-,-,-
Dividend Per Share,-,0.270,0.300,0.260,0.210,0.240,-,-,-,-,-,-,-
Dividend Growth,-,12.50%,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,-,44.72%,46.85%,71.42%,67.01%,73.88%,78.69%,64.28%,62.45%,69.03%,65.51%,46.12%,63.34%
Operating Margin,-,26.04%,31.91%,62.89%,57.56%,67.47%,67.97%,56.22%,45.54%,61.09%,49.72%,15.68%,45.07%
Profit Margin,-,18.78%,26.33%,36.59%,54.49%,31.50%,32.75%,50.99%,46.12%,55.38%,38.46%,8.54%,43.11%
Free Cash Flow Margin,-,45.33%,34.33%,44.81%,28.05%,21.96%,30.40%,47.41%,32.82%,33.48%,30.47%,78.48%,35.81%
Effective Tax Rate,-,29.78%,9.40%,7.25%,5.38%,5.65%,4.30%,0.54%,1.10%,0.51%,1.44%,4.87%,0.04%
EBITDA,-68.05,29.76,38.77,84.15,105.2,87.88,63.63,81.06,39.45,87.58,29.73,4.62,34.01
EBITDA Margin,-,31.15%,33.08%,41.26%,58.80%,34.38%,35.94%,53.39%,49.48%,58.03%,42.09%,11.89%,44.62%
Depreciation & Amortization,1.08,0.64,0.46,0.78,0.53,0.58,0.63,0.66,0.69,1.14,0.46,0.69,0.66
EBIT,-69.13,29.13,38.31,83.37,104.67,87.31,63,80.4,38.77,86.44,29.27,3.93,33.35
EBIT Margin,-,30.48%,32.69%,40.88%,58.50%,34.15%,35.58%,52.96%,48.62%,57.27%,41.43%,10.12%,43.75%
