Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-07-29
"Selling, General & Admin",0.34,0.28,0.28,0.37,0.21,0.02,0.02
Operating Expenses,0.34,0.28,0.28,0.37,0.21,0.02,0.02
Operating Income,-0.34,-0.28,-0.28,-0.37,-0.21,-0.02,-0.02
Other Expense / Income,-2.01,-1.13,-0.3,0.06,-0.01,-,-
Pretax Income,1.67,0.85,0.02,-0.43,-0.2,-0.02,-0.02
Net Income,1.67,0.85,0.02,-0.43,-0.2,-0.02,-0.02
Shares Outstanding (Basic),29,29,29,29,9,5,5
Shares Outstanding (Diluted),29,29,29,29,9,5,5
Shares Change,222.52%,475.00%,475.00%,-,-,-,-
EPS (Basic),-0.01,-0.01,-0.01,-0.01,-1.00,-,-
EPS (Diluted),-0.01,-0.01,-0.01,-0.01,-1.00,-,-
Free Cash Flow Per Share,0.02,-0.00,-0.01,-0.01,-0.14,-,-
EBITDA,1.67,0.85,0.02,-0.43,-0.2,-0.02,-0.02
EBIT,1.67,0.85,0.02,-0.43,-0.2,-0.02,-0.02
