Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.3,0.34,0.32,0.48,0.38,0,0.01
Operating Expenses,0.3,0.34,0.32,0.48,0.38,0,0.01
Operating Income,-0.3,-0.34,-0.32,-0.48,-0.38,0,-0.01
Other Expense / Income,-3,-5.81,-2.77,-10.34,-0.08,-,-
Pretax Income,2.7,5.47,2.45,9.86,-0.3,0,-0.01
Net Income,2.7,5.47,2.45,9.86,-0.3,0,-0.01
Shares Outstanding (Basic),30,30,30,30,4,1,2
Shares Outstanding (Diluted),30,30,30,30,4,1,2
Shares Change,687.92%,2315.00%,1912.50%,-,-,-,-
EPS (Basic),0.09,0.18,0.08,0.33,-0.08,-,-
EPS (Diluted),0.09,0.18,0.08,0.33,-0.08,-,-
Free Cash Flow Per Share,-0.00,-0.01,-0.02,-0.02,-0.32,-,-
EBITDA,2.7,5.47,2.45,9.86,-0.3,0,-0.01
EBIT,2.7,5.47,2.45,9.86,-0.3,0,-0.01
