Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+53 Quarters
Revenue,13.65,15.43,16.47,16.07,15.83,16.45,17.42,16.83,16.6,15.47,16.42,14.54,13.36,14.14,12.55,13.07,12.8,12.68,12.65,12.14,11.92,11.84,11.95,11.32,11.55,12.01,11.82,11.9,11.74,11.97,11.75,11.27,11.13,12.13,10.79,10.68,11.64,10,10.24,10.14,Upgrade
Revenue Growth (YoY),-13.79%,-6.19%,-5.45%,-4.48%,-4.60%,6.36%,6.12%,15.73%,24.21%,9.40%,30.75%,11.21%,4.40%,11.50%,-0.74%,7.72%,7.35%,7.06%,5.80%,7.18%,3.22%,-1.39%,1.15%,-4.87%,-1.65%,0.29%,0.56%,5.59%,5.47%,-1.30%,8.91%,5.57%,-4.35%,21.29%,5.40%,5.35%,17.41%,-0.36%,-0.30%,2.75%,Upgrade
Gross Profit,13.65,15.43,16.47,16.07,15.83,16.45,17.42,16.83,16.6,15.47,16.42,14.54,13.36,14.14,12.55,13.07,12.8,12.68,12.65,12.14,11.92,11.84,11.95,11.32,11.55,12.01,11.82,11.9,11.74,11.97,11.75,11.27,11.13,12.13,10.79,10.68,11.64,10,10.24,10.14,Upgrade
"Selling, General & Admin",8.83,8.96,8.57,8.87,8.42,8.5,8.03,8.43,8.15,8.22,8.39,8.29,8.34,8.01,6.96,6.6,6.8,6.72,6.2,6.17,6.33,5.73,5.79,5.88,5.96,5.86,5.71,5.52,5.93,5.91,5.47,5.54,5.4,5.89,5.11,4.82,4.82,5,4.69,4.66,Upgrade
Other Operating Expenses,0.95,0.96,0.92,0.99,0.96,0.8,0.87,0.98,0.86,0.89,0.91,0.81,0.71,1.36,0.51,0.61,0.65,0.68,0.79,0.54,0.54,0.5,0.51,0.52,0.5,0.4,0.4,0.6,0.51,0.59,0.52,1.15,0.74,2.08,0.55,0.59,0.51,0.49,0.54,1.18,Upgrade
Operating Expenses,9.78,9.93,9.49,9.85,9.38,9.3,8.9,9.41,9.01,9.11,9.29,9.1,9.05,9.37,7.48,7.22,7.46,7.4,6.99,6.71,6.87,6.23,6.3,6.4,6.46,6.27,6.11,6.12,6.43,6.5,5.98,6.69,6.14,7.97,5.67,5.41,5.33,5.49,5.23,5.84,Upgrade
Operating Income,3.87,5.5,6.98,6.22,6.45,7.15,8.52,7.41,7.59,6.36,7.12,5.44,4.31,4.76,5.08,5.86,5.34,5.28,5.66,5.42,5.06,5.61,5.66,4.92,5.09,5.74,5.71,5.78,5.31,5.47,5.77,4.58,5,4.16,5.12,5.27,6.31,4.51,5.01,4.3,Upgrade
Pretax Income,3.87,5.5,6.98,6.22,6.45,7.15,8.52,7.41,7.59,6.36,7.12,5.44,4.31,4.76,5.08,5.86,5.34,5.28,5.66,5.42,5.06,5.61,5.66,4.92,5.09,5.74,5.71,5.78,5.31,5.47,5.77,4.58,5,4.16,5.12,5.27,6.31,4.51,5.01,4.3,Upgrade
Income Tax,0.67,1.09,1.44,2.03,1.31,1.85,1.81,1.54,1.57,1.16,1.45,1.02,0.76,0.47,1.04,1.24,1.1,1.08,1.2,1.11,1.02,2.92,1.73,1.45,1.48,1.72,1.9,1.68,1.5,1.56,1.67,1.22,1.36,1.02,1.39,1.41,1.79,1.13,1.3,1.02,Upgrade
Net Income,3.2,4.41,5.54,4.19,5.15,5.3,6.71,5.88,6.02,5.2,5.67,4.43,3.56,4.3,4.04,4.62,4.24,4.2,4.46,4.32,4.04,2.69,3.93,3.47,3.61,4.02,3.8,4.1,3.81,3.92,4.1,3.36,3.63,3.14,3.73,3.85,4.53,3.38,3.71,3.28,Upgrade
Net Income Growth,-37.86%,-16.71%,-17.44%,-28.68%,-14.58%,1.94%,18.37%,32.80%,69.42%,20.89%,40.36%,-4.13%,-16.10%,2.31%,-9.37%,6.96%,4.97%,56.39%,13.50%,24.33%,11.82%,-33.25%,3.27%,-15.30%,-5.17%,2.79%,-7.22%,21.83%,4.74%,24.73%,9.87%,-12.71%,-19.69%,-7.05%,0.52%,17.57%,26.22%,-2.65%,-3.86%,-0.93%,Upgrade
