Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.43,0.41,0.31,0.32,0.42,0.39,0,0.01
Operating Expenses,0.43,0.41,0.31,0.32,0.42,0.39,0,0.01
Operating Income,-0.43,-0.41,-0.31,-0.32,-0.42,-0.39,0,-0.01
Other Expense / Income,-1.38,-5.02,-27.84,-15.8,-36.32,28.38,55.85,-
Pretax Income,0.95,4.6,27.53,15.49,35.9,-28.76,-55.85,-0.01
Net Income,0.95,4.6,27.53,15.49,35.9,-28.76,-55.85,-0.01
Net Income Growth,-97.35%,-,-,-,-,-,-,-
Shares Outstanding (Basic),30,30,30,30,30,30,13,11
Shares Outstanding (Diluted),30,30,30,30,30,30,13,11
Shares Change,-,-,133.33%,167.79%,-,-,-,-
EPS (Basic),-0.07,0.07,0.88,0.51,1.21,-1.53,-,-
EPS (Diluted),-0.07,0.07,0.88,0.51,1.21,-1.53,-,-
Free Cash Flow Per Share,0.10,-0.01,-0.00,-0.00,-0.01,-0.06,-,-
EBITDA,0.95,4.6,27.53,15.49,35.9,-28.76,-55.85,-0.01
EBIT,0.95,4.6,27.53,15.49,35.9,-28.76,-55.85,-0.01
